aibo1,aibo2,aibo3,aibo4,aibo5,class
-40,-50,-47,-68,-65,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-40,-50,-47,-68,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-52,-47,-48,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
-41,-49,-44,-67,-73,0
