busID,ProximaParada,Ruta,Orientacion,rangoHora,tiempoRecorrido
3433,249,8123,1.0,2.0,856.0
3433,249,8123,1.0,5.0,636.0
3984,160,10247,1.0,5.0,96.0
3984,160,10247,1.0,7.5,32.0
5517,255,10490,0.0,11.5,31.0
5517,255,10490,0.0,13.0,63.0
5517,255,10490,0.0,14.5,63.0
5517,255,10490,0.0,16.5,0.0
5517,255,10490,0.0,19.5,63.0
5517,255,10490,0.0,21.5,160.0
5517,255,10490,0.0,23.5,283.0
5517,255,10490,0.0,1.0,62.0
5517,255,10490,0.0,3.0,63.0
5517,255,10490,0.0,5.0,127.0
5517,255,10490,0.0,7.0,35.0
5517,255,10490,0.0,9.0,31.0
5517,255,10490,0.0,10.5,31.0
4790,89,1589,1.0,2.0,94.0
4790,89,1589,1.0,4.0,68.0
4790,89,1589,1.0,9.0,93.0
6881,145,8913,1.0,18.0,32.0
6881,145,8913,1.0,19.0,0.0
5693,107,7813,1.0,20.0,61.0
5693,107,7813,1.0,0.0,31.0
5693,107,7813,1.0,4.0,30.0
5693,107,7813,1.0,10.0,0.0
4057,183,1844,0.0,1.5,93.0
6437,170,8940,0.0,1.0,0.0
6437,170,8940,0.0,3.0,0.0
502,232,6347,1.0,17.0,0.0
502,232,6347,1.0,18.0,63.0
4538,30,4716,0.0,6.0,62.0
4538,30,4716,0.0,8.0,31.0
367,48,3418,0.0,18.5,127.0
367,48,3418,0.0,22.0,283.0
367,48,3418,0.0,1.5,94.0
367,48,3418,0.0,5.0,31.0
4772,84,1020,0.0,16.0,31.0
4772,84,1020,0.0,18.0,30.0
8856,290,11542,0.0,2.0,33.0
3913,123,7957,1.0,18.0,31.0
3913,123,7957,1.0,19.5,0.0
3913,123,7957,1.0,21.5,32.0
9509,38,5583,1.0,6.5,33.0
3825,111,7999,1.0,17.5,63.0
3825,111,7999,1.0,19.0,97.0
3825,111,7999,1.0,20.0,31.0
3825,111,7999,1.0,22.5,94.0
3825,111,7999,1.0,0.0,126.0
9527,155,8132,0.0,19.5,31.0
9527,155,8132,0.0,21.5,64.0
3735,270,10862,0.0,5.0,0.0
3735,270,10862,0.0,7.0,0.0
4472,152,9047,1.0,17.0,32.0
4331,78,891,0.0,17.5,0.0
4331,78,891,0.0,19.0,31.0
4331,78,891,0.0,0.0,32.0
4331,78,891,0.0,1.5,0.0
4331,78,891,0.0,4.5,0.0
4331,78,891,0.0,6.0,94.0
4331,78,891,0.0,7.0,95.0
4331,78,891,0.0,8.0,0.0
559,274,10916,1.0,23.5,63.0
559,274,10916,1.0,2.0,30.0
381,52,4451,0.0,4.0,33.0
381,52,4451,0.0,6.5,0.0
7066,174,2749,1.0,16.5,31.0
7066,174,2749,1.0,18.0,63.0
271,59,7564,1.0,11.0,847.0
3723,278,11158,0.0,11.5,0.0
3723,278,11158,0.0,3.5,126.0
3723,278,11158,0.0,5.5,126.0
5154,140,8774,0.0,7.0,32.0
4203,147,9004,1.0,9.5,32.0
7818,76,838,0.0,17.5,31.0
7818,76,838,0.0,21.0,31.0
6340,143,8591,0.0,6.5,200.0
563,288,11424,1.0,1.0,63.0
563,288,11424,1.0,4.0,222.0
2756,230,2895,0.0,18.5,155.0
8059,153,8350,1.0,18.5,32.0
4514,9,5847,1.0,18.5,64.0
4514,9,5847,1.0,21.0,0.0
4514,9,5847,1.0,23.5,32.0
