Beacon,RSSI
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-53
EA:EF:87:2F:4D:93,-71
FB:D3:B5:B9:89:F2,-72
C9:EC:7A:17:D8:D5,-66
C8:5B:EA:43:6F:75,-52
EA:EF:87:2F:4D:93,-77
F7:24:98:9B:B6:EA,-51
FB:D3:B5:B9:89:F2,-64
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-53
F7:24:98:9B:B6:EA,-54
EA:EF:87:2F:4D:93,-71
C2:06:59:1B:82:30,-66
FB:D3:B5:B9:89:F2,-74
C9:EC:7A:17:D8:D5,-64
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-51
EA:EF:87:2F:4D:93,-78
DF:30:98:A8:09:BB,-71
FB:D3:B5:B9:89:F2,-62
C9:EC:7A:17:D8:D5,-67
F7:24:98:9B:B6:EA,-49
EA:EF:87:2F:4D:93,-75
FB:D3:B5:B9:89:F2,-74
C9:EC:7A:17:D8:D5,-64
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-54
EA:EF:87:2F:4D:93,-77
EA:EF:87:2F:4D:93,-71
FB:D3:B5:B9:89:F2,-63
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-49
FB:D3:B5:B9:89:F2,-73
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-54
EA:EF:87:2F:4D:93,-77
FB:D3:B5:B9:89:F2,-65
C9:EC:7A:17:D8:D5,-67
F7:24:98:9B:B6:EA,-51
EA:EF:87:2F:4D:93,-79
FB:D3:B5:B9:89:F2,-73
C9:EC:7A:17:D8:D5,-64
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-54
EA:EF:87:2F:4D:93,-76
EA:EF:87:2F:4D:93,-72
FB:D3:B5:B9:89:F2,-64
C9:EC:7A:17:D8:D5,-66
F7:24:98:9B:B6:EA,-51
FB:D3:B5:B9:89:F2,-68
C9:EC:7A:17:D8:D5,-64
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-53
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-53
F7:24:98:9B:B6:EA,-49
EA:EF:87:2F:4D:93,-74
FB:D3:B5:B9:89:F2,-68
C9:EC:7A:17:D8:D5,-64
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-54
EA:EF:87:2F:4D:93,-73
FB:D3:B5:B9:89:F2,-73
C9:EC:7A:17:D8:D5,-66
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-51
F7:24:98:9B:B6:EA,-51
EA:EF:87:2F:4D:93,-73
FB:D3:B5:B9:89:F2,-68
C9:EC:7A:17:D8:D5,-64
C8:5B:EA:43:6F:75,-53
F7:24:98:9B:B6:EA,-54
EA:EF:87:2F:4D:93,-75
C9:EC:7A:17:D8:D5,-66
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-51
EA:EF:87:2F:4D:93,-74
FB:D3:B5:B9:89:F2,-68
C9:EC:7A:17:D8:D5,-64
C8:5B:EA:43:6F:75,-53
F7:24:98:9B:B6:EA,-49
EA:EF:87:2F:4D:93,-76
FB:D3:B5:B9:89:F2,-73
C9:EC:7A:17:D8:D5,-66
EA:EF:87:2F:4D:93,-75
C9:EC:7A:17:D8:D5,-67
F7:24:98:9B:B6:EA,-50
F7:24:98:9B:B6:EA,-54
C8:5B:EA:43:6F:75,-52
EA:EF:87:2F:4D:93,-77
FB:D3:B5:B9:89:F2,-73
C9:EC:7A:17:D8:D5,-64
F7:24:98:9B:B6:EA,-51
C8:5B:EA:43:6F:75,-53
EA:EF:87:2F:4D:93,-75
FB:D3:B5:B9:89:F2,-64
C9:EC:7A:17:D8:D5,-66
C2:79:AA:F8:4C:30,-67
C8:5B:EA:43:6F:75,-52
EA:EF:87:2F:4D:93,-75
FB:D3:B5:B9:89:F2,-73
C9:EC:7A:17:D8:D5,-67
F7:24:98:9B:B6:EA,-51
C8:5B:EA:43:6F:75,-54
EA:EF:87:2F:4D:93,-77
FB:D3:B5:B9:89:F2,-64
C9:EC:7A:17:D8:D5,-66
D0:39:72:C8:CB:0C,-88
D0:39:72:C8:CB:0C,-89
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-54
EA:EF:87:2F:4D:93,-75
FB:D3:B5:B9:89:F2,-73
F7:24:98:9B:B6:EA,-50
EA:EF:87:2F:4D:93,-77
FB:D3:B5:B9:89:F2,-64
C9:EC:7A:17:D8:D5,-66
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-51
EA:EF:87:2F:4D:93,-79
FB:D3:B5:B9:89:F2,-68
C9:EC:7A:17:D8:D5,-64
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-54
EA:EF:87:2F:4D:93,-75
FB:D3:B5:B9:89:F2,-64
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-50
EA:EF:87:2F:4D:93,-78
FB:D3:B5:B9:89:F2,-74
C9:EC:7A:17:D8:D5,-66
C8:5B:EA:43:6F:75,-51
F7:24:98:9B:B6:EA,-54
FB:D3:B5:B9:89:F2,-64
C8:5B:EA:43:6F:75,-53
F7:24:98:9B:B6:EA,-49
EA:EF:87:2F:4D:93,-77
FB:D3:B5:B9:89:F2,-74
C9:EC:7A:17:D8:D5,-66
EA:EF:87:2F:4D:93,-75
FB:D3:B5:B9:89:F2,-64
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-50
FB:D3:B5:B9:89:F2,-68
EA:EF:87:2F:4D:93,-77
C9:EC:7A:17:D8:D5,-63
C8:5B:EA:43:6F:75,-53
F7:24:98:9B:B6:EA,-54
EA:EF:87:2F:4D:93,-78
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-50
FB:D3:B5:B9:89:F2,-68
EA:EF:87:2F:4D:93,-76
C9:EC:7A:17:D8:D5,-66
FB:D3:B5:B9:89:F2,-73
EA:EF:87:2F:4D:93,-77
C8:5B:EA:43:6F:75,-52
D0:39:72:C8:CB:0C,-91
FB:D3:B5:B9:89:F2,-68
F7:24:98:9B:B6:EA,-50
EA:EF:87:2F:4D:93,-74
C9:EC:7A:17:D8:D5,-66
FB:D3:B5:B9:89:F2,-73
F7:24:98:9B:B6:EA,-51
EA:EF:87:2F:4D:93,-77
C8:5B:EA:43:6F:75,-52
FB:D3:B5:B9:89:F2,-64
EA:EF:87:2F:4D:93,-75
F7:24:98:9B:B6:EA,-54
C9:EC:7A:17:D8:D5,-66
C8:5B:EA:43:6F:75,-53
FB:D3:B5:B9:89:F2,-74
EA:EF:87:2F:4D:93,-75
F7:24:98:9B:B6:EA,-51
C9:EC:7A:17:D8:D5,-64
C8:5B:EA:43:6F:75,-52
FB:D3:B5:B9:89:F2,-64
EA:EF:87:2F:4D:93,-74
C2:75:52:8E:3E:30,-68
F7:24:98:9B:B6:EA,-54
C8:5B:EA:43:6F:75,-53
FB:D3:B5:B9:89:F2,-73
EA:EF:87:2F:4D:93,-75
F7:24:98:9B:B6:EA,-51
C9:EC:7A:17:D8:D5,-64
C8:5B:EA:43:6F:75,-52
FB:D3:B5:B9:89:F2,-64
F7:24:98:9B:B6:EA,-50
EA:EF:87:2F:4D:93,-73
C9:EC:7A:17:D8:D5,-67
FB:D3:B5:B9:89:F2,-73
F7:24:98:9B:B6:EA,-51
EA:EF:87:2F:4D:93,-75
C9:EC:7A:17:D8:D5,-64
C8:5B:EA:43:6F:75,-52
FB:D3:B5:B9:89:F2,-64
F7:24:98:9B:B6:EA,-50
EA:EF:87:2F:4D:93,-73
C9:EC:7A:17:D8:D5,-66
FB:D3:B5:B9:89:F2,-68
F7:24:98:9B:B6:EA,-51
EA:EF:87:2F:4D:93,-75
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-52
FB:D3:B5:B9:89:F2,-64
F7:24:98:9B:B6:EA,-49
EA:EF:87:2F:4D:93,-73
C9:EC:7A:17:D8:D5,-64
C8:5B:EA:43:6F:75,-53
FB:D3:B5:B9:89:F2,-68
F7:24:98:9B:B6:EA,-54
EA:EF:87:2F:4D:93,-75
C9:EC:7A:17:D8:D5,-66
C8:5B:EA:43:6F:75,-52
FB:D3:B5:B9:89:F2,-72
F7:24:98:9B:B6:EA,-51
EA:EF:87:2F:4D:93,-76
D0:39:72:C8:CB:0C,-90
D0:39:72:C8:CB:0C,-90
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-53
F7:24:98:9B:B6:EA,-53
C9:EC:7A:17:D8:D5,-64
FB:D3:B5:B9:89:F2,-73
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-51
EA:EF:87:2F:4D:93,-75
C9:EC:7A:17:D8:D5,-67
FB:D3:B5:B9:89:F2,-64
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-54
EA:EF:87:2F:4D:93,-73
C9:EC:7A:17:D8:D5,-66
FB:D3:B5:B9:89:F2,-74
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-51
EA:EF:87:2F:4D:93,-76
C9:EC:7A:17:D8:D5,-67
FB:D3:B5:B9:89:F2,-64
C8:5B:EA:43:6F:75,-53
F7:24:98:9B:B6:EA,-50
EA:EF:87:2F:4D:93,-75
C9:EC:7A:17:D8:D5,-66
FB:D3:B5:B9:89:F2,-68
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-51
EA:EF:87:2F:4D:93,-75
C8:5B:EA:43:6F:75,-53
F7:24:98:9B:B6:EA,-50
C9:EC:7A:17:D8:D5,-66
C8:5B:EA:43:6F:75,-51
F7:24:98:9B:B6:EA,-51
EA:EF:87:2F:4D:93,-77
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-53
FB:D3:B5:B9:89:F2,-64
F7:24:98:9B:B6:EA,-49
C9:EC:7A:17:D8:D5,-66
C8:5B:EA:43:6F:75,-52
FB:D3:B5:B9:89:F2,-74
EA:EF:87:2F:4D:93,-76
C2:50:CE:DD:15:30,-69
FB:D3:B5:B9:89:F2,-64
F7:24:98:9B:B6:EA,-50
EA:EF:87:2F:4D:93,-74
C9:EC:7A:17:D8:D5,-66
C8:5B:EA:43:6F:75,-52
FB:D3:B5:B9:89:F2,-68
EA:EF:87:2F:4D:93,-76
C9:EC:7A:17:D8:D5,-67
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-49
C9:EC:7A:17:D8:D5,-66
C8:5B:EA:43:6F:75,-51
FB:D3:B5:B9:89:F2,-67
F7:24:98:9B:B6:EA,-51
EA:EF:87:2F:4D:93,-76
C9:EC:7A:17:D8:D5,-67
FB:D3:B5:B9:89:F2,-61
F7:24:98:9B:B6:EA,-50
EA:EF:87:2F:4D:93,-74
C9:EC:7A:17:D8:D5,-66
FB:D3:B5:B9:89:F2,-67
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-51
EA:EF:87:2F:4D:93,-76
FB:D3:B5:B9:89:F2,-74
C8:5B:EA:43:6F:75,-52
C9:EC:7A:17:D8:D5,-66
FB:D3:B5:B9:89:F2,-67
C8:5B:EA:43:6F:75,-52
F7:24:98:9B:B6:EA,-51
EA:EF:87:2F:4D:93,-75
C9:EC:7A:17:D8:D5,-67
FB:D3:B5:B9:89:F2,-73
C8:5B:EA:43:6F:75,-52
EA:EF:87:2F:4D:93,-73
F7:24:98:9B:B6:EA,-54
C9:EC:7A:17:D8:D5,-64
