0,1,2,3,4,position
-71.0,-78.0,-78.0,-64.0,-76.0,10
-71.0,-67.0,-78.0,-64.0,-76.0,10
-64.0,-67.0,-78.0,-64.0,-76.0,10
-64.0,-67.0,-78.0,-65.0,-76.0,10
-64.0,-65.0,-78.0,-65.0,-76.0,10
-64.0,-65.0,-66.0,-65.0,-76.0,10
-64.0,-65.0,-66.0,-65.0,-78.0,10
-71.0,-65.0,-66.0,-65.0,-78.0,10
-71.0,-65.0,-66.0,-63.0,-78.0,10
-71.0,-67.0,-66.0,-63.0,-78.0,10
-71.0,-67.0,-72.0,-63.0,-78.0,10
-71.0,-67.0,-72.0,-63.0,-79.0,10
-64.0,-67.0,-72.0,-63.0,-79.0,10
-64.0,-67.0,-72.0,-65.0,-79.0,10
-64.0,-65.0,-72.0,-65.0,-79.0,10
-64.0,-65.0,-66.0,-65.0,-79.0,10
-70.0,-65.0,-66.0,-65.0,-79.0,10
-70.0,-65.0,-66.0,-73.0,-79.0,10
-70.0,-65.0,-76.0,-73.0,-79.0,10
-70.0,-65.0,-76.0,-73.0,-83.0,10
-64.0,-65.0,-76.0,-73.0,-83.0,10
-64.0,-65.0,-76.0,-63.0,-83.0,10
-64.0,-78.0,-76.0,-63.0,-83.0,10
-70.0,-78.0,-76.0,-63.0,-83.0,10
-70.0,-78.0,-76.0,-74.0,-83.0,10
-70.0,-66.0,-76.0,-74.0,-83.0,10
-70.0,-66.0,-66.0,-74.0,-83.0,10
-63.0,-66.0,-66.0,-74.0,-83.0,10
-63.0,-66.0,-66.0,-63.0,-83.0,10
-70.0,-65.0,-74.0,-74.0,-84.0,10
-70.0,-65.0,-74.0,-74.0,-77.0,10
-65.0,-65.0,-74.0,-74.0,-77.0,10
-65.0,-65.0,-66.0,-74.0,-77.0,10
-65.0,-65.0,-66.0,-65.0,-77.0,10
-65.0,-77.0,-66.0,-65.0,-77.0,10
-65.0,-77.0,-66.0,-65.0,-84.0,10
-65.0,-77.0,-66.0,-64.0,-84.0,10
-65.0,-68.0,-66.0,-64.0,-84.0,10
-65.0,-66.0,-66.0,-64.0,-84.0,10
-65.0,-66.0,-66.0,-64.0,-78.0,10
-64.0,-66.0,-66.0,-64.0,-78.0,10
-64.0,-66.0,-67.0,-64.0,-78.0,10
-64.0,-66.0,-67.0,-65.0,-78.0,10
-64.0,-67.0,-71.0,-65.0,-81.0,10
-64.0,-67.0,-71.0,-65.0,-78.0,10
-69.0,-67.0,-71.0,-65.0,-78.0,10
-69.0,-67.0,-74.0,-65.0,-78.0,10
