0,1,2,3,4,position
-57.0,-68.0,-67.0,-50.0,-67.0,11
-51.0,-68.0,-67.0,-50.0,-67.0,11
-51.0,-68.0,-67.0,-54.0,-67.0,11
-51.0,-65.0,-67.0,-54.0,-67.0,11
-57.0,-65.0,-67.0,-54.0,-67.0,11
-57.0,-65.0,-67.0,-50.0,-67.0,11
-57.0,-67.0,-67.0,-50.0,-67.0,11
-47.0,-67.0,-67.0,-50.0,-67.0,11
-47.0,-65.0,-67.0,-50.0,-67.0,11
-56.0,-65.0,-67.0,-50.0,-67.0,11
-56.0,-65.0,-67.0,-50.0,-62.0,11
-56.0,-65.0,-67.0,-51.0,-62.0,11
-56.0,-65.0,-65.0,-51.0,-62.0,11
-48.0,-65.0,-65.0,-51.0,-62.0,11
-48.0,-65.0,-65.0,-51.0,-65.0,11
-48.0,-65.0,-65.0,-54.0,-65.0,11
-48.0,-64.0,-65.0,-54.0,-65.0,11
-56.0,-64.0,-65.0,-54.0,-65.0,11
-56.0,-64.0,-65.0,-54.0,-61.0,11
-56.0,-69.0,-65.0,-54.0,-61.0,11
-56.0,-69.0,-61.0,-54.0,-61.0,11
-47.0,-69.0,-61.0,-54.0,-61.0,11
-47.0,-69.0,-61.0,-53.0,-61.0,11
-47.0,-65.0,-61.0,-53.0,-61.0,11
-59.0,-65.0,-61.0,-53.0,-61.0,11
-59.0,-65.0,-61.0,-53.0,-63.0,11
-59.0,-65.0,-61.0,-56.0,-63.0,11
-59.0,-65.0,-60.0,-56.0,-63.0,11
-46.0,-65.0,-60.0,-56.0,-63.0,11
-46.0,-65.0,-60.0,-56.0,-69.0,11
-46.0,-65.0,-60.0,-53.0,-69.0,11
-46.0,-65.0,-64.0,-53.0,-69.0,11
-50.0,-65.0,-64.0,-53.0,-69.0,11
-50.0,-65.0,-64.0,-53.0,-64.0,11
-50.0,-70.0,-64.0,-53.0,-64.0,11
-50.0,-70.0,-58.0,-53.0,-64.0,11
-46.0,-70.0,-58.0,-53.0,-64.0,11
-46.0,-70.0,-58.0,-53.0,-68.0,11
-46.0,-70.0,-58.0,-56.0,-68.0,11
-46.0,-65.0,-58.0,-56.0,-68.0,11
-54.0,-65.0,-58.0,-56.0,-68.0,11
-54.0,-65.0,-58.0,-56.0,-62.0,11
-54.0,-65.0,-58.0,-54.0,-62.0,11
-54.0,-71.0,-58.0,-54.0,-62.0,11
-49.0,-71.0,-58.0,-54.0,-62.0,11
-49.0,-71.0,-58.0,-56.0,-62.0,11
-49.0,-65.0,-58.0,-56.0,-62.0,11
-49.0,-65.0,-66.0,-56.0,-62.0,11
-48.0,-65.0,-66.0,-56.0,-62.0,11
-48.0,-65.0,-66.0,-50.0,-62.0,11
