Beacon,RSSI
FB:D3:B5:B9:89:F2,-60
C9:EC:7A:17:D8:D5,-58
C8:5B:EA:43:6F:75,-66
F7:24:98:9B:B6:EA,-53
EA:EF:87:2F:4D:93,-66
C9:EC:7A:17:D8:D5,-59
F7:24:98:9B:B6:EA,-64
EA:EF:87:2F:4D:93,-68
FB:D3:B5:B9:89:F2,-59
C9:EC:7A:17:D8:D5,-59
C8:5B:EA:43:6F:75,-67
F7:24:98:9B:B6:EA,-53
EA:EF:87:2F:4D:93,-65
EA:EF:87:2F:4D:93,-71
FB:D3:B5:B9:89:F2,-62
C9:EC:7A:17:D8:D5,-59
C8:5B:EA:43:6F:75,-73
F7:24:98:9B:B6:EA,-63
EA:EF:87:2F:4D:93,-67
FB:D3:B5:B9:89:F2,-59
C9:EC:7A:17:D8:D5,-58
C8:5B:EA:43:6F:75,-67
F7:24:98:9B:B6:EA,-60
EA:EF:87:2F:4D:93,-66
C9:EC:7A:17:D8:D5,-59
C8:5B:EA:43:6F:75,-81
F7:24:98:9B:B6:EA,-60
FB:D3:B5:B9:89:F2,-59
C9:EC:7A:17:D8:D5,-57
C8:5B:EA:43:6F:75,-59
F7:24:98:9B:B6:EA,-62
EA:EF:87:2F:4D:93,-67
FB:D3:B5:B9:89:F2,-61
C9:EC:7A:17:D8:D5,-58
C8:5B:EA:43:6F:75,-68
F7:24:98:9B:B6:EA,-53
EA:EF:87:2F:4D:93,-69
FB:D3:B5:B9:89:F2,-59
C9:EC:7A:17:D8:D5,-57
EA:EF:87:2F:4D:93,-67
FB:D3:B5:B9:89:F2,-61
C9:EC:7A:17:D8:D5,-59
C8:5B:EA:43:6F:75,-73
F7:24:98:9B:B6:EA,-53
FB:D3:B5:B9:89:F2,-62
C9:EC:7A:17:D8:D5,-58
C8:5B:EA:43:6F:75,-69
EA:EF:87:2F:4D:93,-67
FB:D3:B5:B9:89:F2,-61
C9:EC:7A:17:D8:D5,-59
C8:5B:EA:43:6F:75,-74
F7:24:98:9B:B6:EA,-53
FB:D3:B5:B9:89:F2,-59
C9:EC:7A:17:D8:D5,-59
C8:5B:EA:43:6F:75,-59
EA:EF:87:2F:4D:93,-66
C9:EC:7A:17:D8:D5,-59
C8:5B:EA:43:6F:75,-74
F7:24:98:9B:B6:EA,-52
EA:EF:87:2F:4D:93,-69
FB:D3:B5:B9:89:F2,-59
C9:EC:7A:17:D8:D5,-58
C8:5B:EA:43:6F:75,-59
F7:24:98:9B:B6:EA,-62
EA:EF:87:2F:4D:93,-66
FB:D3:B5:B9:89:F2,-61
C9:EC:7A:17:D8:D5,-58
C8:5B:EA:43:6F:75,-75
F7:24:98:9B:B6:EA,-52
EA:EF:87:2F:4D:93,-69
C9:EC:7A:17:D8:D5,-57
FB:D3:B5:B9:89:F2,-61
C8:5B:EA:43:6F:75,-59
F7:24:98:9B:B6:EA,-62
EA:EF:87:2F:4D:93,-69
C9:EC:7A:17:D8:D5,-58
FB:D3:B5:B9:89:F2,-59
F7:24:98:9B:B6:EA,-52
EA:EF:87:2F:4D:93,-70
C9:EC:7A:17:D8:D5,-59
C8:5B:EA:43:6F:75,-60
F7:24:98:9B:B6:EA,-62
EA:EF:87:2F:4D:93,-70
FB:D3:B5:B9:89:F2,-58
C8:5B:EA:43:6F:75,-67
EA:EF:87:2F:4D:93,-70
F7:24:98:9B:B6:EA,-61
C9:EC:7A:17:D8:D5,-58
C8:5B:EA:43:6F:75,-60
EA:EF:87:2F:4D:93,-70
F7:24:98:9B:B6:EA,-52
C9:EC:7A:17:D8:D5,-57
FB:D3:B5:B9:89:F2,-59
C8:5B:EA:43:6F:75,-78
EA:EF:87:2F:4D:93,-66
F7:24:98:9B:B6:EA,-61
C9:EC:7A:17:D8:D5,-57
C9:EC:7A:17:D8:D5,-58
DF:1D:F9:4C:B0:BB,-84
FB:D3:B5:B9:89:F2,-60
F7:24:98:9B:B6:EA,-51
C9:EC:7A:17:D8:D5,-57
FB:D3:B5:B9:89:F2,-59
EA:EF:87:2F:4D:93,-66
F7:24:98:9B:B6:EA,-60
C9:EC:7A:17:D8:D5,-58
