position,b1,b2,b3,b4,b5
10,-59,-76,-76,-65,-71
10,-64,-71,-67,-71,-75
10,-62,-72,-71,-65,-75
10,-66,-73,-69,-68,-79
10,-65,-76,-67,-65,-72
10,-62,-72,-77,-85,-71
10,-58,-71,-77,-76,-75
10,-62,-73,-69,-68,-74
10,-66,-75,-68,-68,-71
10,-64,-72,-72,-68,-73
10,-63,-73,-72,-68,-72
10,-59,-71,-69,-65,-79
10,-61,-74,-72,-64,-75
10,-67,-72,-67,-85,-71
10,-58,-71,-69,-65,-80
10,-62,-71,-67,-68,-72
10,-67,-72,-68,-63,-75
10,-65,-76,-77,-65,-71
10,-66,-71,-77,-68,-71
10,-65,-71,-69,-68,-79
10,-67,-71,-71,-68,-75
10,-66,-70,-77,-86,-75
10,-67,-72,-72,-65,-71
10,-65,-71,-69,-68,-72
10,-62,-74,-68,-64,-75
10,-65,-76,-67,-85,-79
10,-59,-71,-77,-65,-79
10,-67,-76,-67,-68,-71
10,-59,-75,-77,-68,-71
10,-63,-76,-72,-65,-79
10,-61,-74,-74,-68,-75
10,-62,-76,-73,-74,-72
10,-67,-71,-77,-68,-79
10,-66,-70,-67,-66,-71
10,-62,-72,-69,-68,-74
10,-65,-76,-68,-85,-75
10,-65,-71,-69,-65,-71
10,-67,-72,-77,-64,-71
10,-66,-72,-67,-68,-75
10,-62,-74,-67,-68,-74
10,-62,-70,-72,-68,-71
10,-62,-72,-73,-64,-71
10,-62,-76,-72,-68,-79
10,-67,-72,-68,-68,-75
10,-67,-70,-69,-65,-78
10,-65,-70,-67,-68,-71
10,-59,-71,-68,-65,-80
10,-65,-72,-67,-68,-71
10,-67,-71,-72,-64,-70
10,-66,-72,-67,-69,-70
10,-65,-70,-69,-68,-80
10,-59,-75,-78,-65,-71
10,-62,-71,-67,-65,-71
10,-62,-73,-70,-65,-71
10,-62,-73,-79,-85,-71
10,-57,-73,-69,-69,-74
10,-67,-71,-71,-69,-78
10,-59,-71,-69,-65,-72
10,-65,-71,-69,-66,-80
10,-65,-74,-77,-69,-81
10,-65,-71,-73,-69,-72
10,-67,-71,-68,-64,-72
10,-59,-71,-76,-69,-68
10,-66,-73,-76,-80,-71
10,-67,-73,-67,-69,-71
10,-65,-71,-79,-70,-73
10,-66,-74,-70,-81,-72
10,-57,-72,-74,-69,-77
10,-62,-71,-69,-65,-70
10,-65,-72,-76,-69,-71
10,-64,-73,-71,-74,-72
10,-66,-68,-76,-82,-71
10,-59,-72,-69,-70,-77
10,-67,-70,-75,-79,-71
10,-65,-72,-69,-63,-68
10,-63,-72,-77,-73,-74
10,-66,-70,-74,-75,-72
10,-67,-70,-78,-75,-73
10,-67,-70,-79,-77,-76
10,-66,-75,-68,-64,-72
10,-59,-69,-68,-77,-82
10,-66,-74,-68,-73,-69
10,-59,-74,-76,-64,-69
10,-67,-72,-68,-73,-81
10,-67,-74,-72,-74,-70
10,-66,-70,-75,-72,-72
10,-66,-72,-76,-73,-69
10,-62,-70,-76,-73,-70
10,-67,-72,-72,-77,-72
10,-66,-70,-68,-73,-79
10,-59,-73,-75,-77,-71
10,-63,-72,-68,-75,-68
10,-67,-68,-66,-72,-68
10,-59,-72,-68,-63,-68
10,-64,-70,-75,-71,-72
10,-67,-69,-71,-71,-76
10,-59,-71,-67,-72,-75
10,-66,-72,-74,-74,-73
10,-68,-69,-68,-67,-75
10,-67,-74,-79,-65,-70
10,-63,-75,-68,-64,-75
10,-58,-74,-67,-69,-70
10,-67,-75,-69,-65,-79
10,-66,-72,-74,-65,-79
10,-60,-72,-67,-68,-71
10,-60,-71,-69,-64,-72
10,-61,-73,-72,-64,-72
10,-63,-75,-69,-68,-74
10,-60,-72,-71,-73,-70
10,-65,-72,-68,-63,-70
10,-69,-71,-68,-68,-71
10,-60,-74,-68,-78,-68
10,-65,-71,-80,-68,-70
10,-60,-74,-68,-79,-69
10,-62,-72,-80,-66,-68
10,-64,-71,-77,-79,-72
10,-60,-74,-68,-65,-68
10,-66,-72,-66,-71,-72
10,-64,-73,-69,-79,-71
10,-68,-73,-68,-79,-72
10,-66,-73,-73,-69,-68
10,-64,-74,-69,-68,-70
10,-60,-75,-77,-64,-71
10,-65,-73,-67,-68,-72
10,-61,-75,-68,-79,-69
10,-62,-72,-71,-73,-69
10,-67,-72,-68,-66,-69
10,-66,-72,-81,-64,-68
10,-69,-71,-68,-78,-72
10,-68,-73,-68,-64,-71
10,-59,-74,-68,-62,-72
10,-68,-75,-68,-63,-69
10,-61,-74,-69,-67,-68
10,-66,-72,-74,-65,-69
10,-62,-72,-74,-73,-68
10,-64,-73,-73,-64,-69
10,-65,-75,-81,-64,-71
10,-64,-71,-80,-65,-71
10,-68,-71,-68,-64,-70
10,-65,-71,-68,-78,-69
10,-65,-72,-73,-77,-70
10,-60,-71,-68,-64,-70
10,-65,-75,-67,-78,-69
10,-60,-71,-68,-64,-72
10,-62,-73,-68,-64,-70
10,-65,-73,-68,-68,-71
10,-61,-72,-72,-78,-70
10,-65,-74,-68,-64,-68
10,-62,-74,-70,-62,-70
10,-65,-74,-68,-68,-69
10,-68,-75,-79,-64,-71
10,-65,-71,-67,-68,-69
10,-68,-74,-71,-69,-70
10,-64,-75,-68,-68,-69
10,-59,-73,-68,-64,-69
10,-65,-71,-81,-68,-71
10,-69,-74,-68,-64,-72
10,-65,-71,-68,-68,-70
10,-65,-74,-74,-66,-70
10,-60,-71,-73,-63,-70
10,-62,-76,-68,-68,-71
10,-68,-73,-74,-65,-69
10,-61,-69,-75,-72,-69
10,-58,-76,-68,-80,-70
10,-62,-74,-75,-72,-72
10,-67,-71,-67,-68,-71
10,-65,-73,-68,-65,-66
10,-66,-70,-69,-69,-71
10,-60,-72,-73,-70,-70
10,-68,-69,-77,-77,-72
10,-59,-71,-65,-69,-71
10,-65,-74,-77,-64,-75
10,-61,-69,-68,-67,-70
10,-57,-69,-67,-70,-81
10,-64,-69,-77,-70,-71
10,-60,-70,-77,-78,-72
10,-61,-70,-69,-67,-75
10,-68,-69,-67,-65,-77
10,-65,-69,-67,-65,-71
10,-64,-72,-68,-71,-68
10,-60,-71,-69,-65,-75
10,-64,-71,-68,-74,-78
10,-60,-71,-71,-72,-68
10,-62,-72,-68,-69,-69
10,-67,-69,-68,-69,-78
10,-60,-71,-69,-67,-77
10,-65,-70,-71,-70,-68
10,-62,-72,-75,-70,-78
10,-59,-73,-65,-71,-68
10,-62,-70,-67,-78,-77
10,-62,-70,-74,-73,-73
10,-67,-72,-71,-72,-69
10,-60,-71,-71,-74,-69
10,-63,-73,-74,-69,-78
10,-67,-70,-67,-79,-85
10,-63,-73,-72,-67,-78
10,-63,-71,-71,-73,-69
10,-60,-69,-70,-74,-68
10,-66,-70,-67,-64,-69
10,-67,-73,-67,-68,-89
10,-59,-71,-72,-70,-77
10,-68,-73,-68,-70,-84
10,-59,-70,-71,-79,-77
10,-62,-73,-68,-70,-81
10,-68,-73,-70,-65,-78
10,-67,-69,-66,-79,-79
10,-59,-72,-74,-70,-69
10,-60,-71,-68,-77,-69
10,-64,-71,-71,-73,-79
10,-64,-70,-68,-64,-69
10,-59,-70,-68,-70,-88
10,-63,-72,-67,-65,-69
10,-61,-70,-68,-75,-71
10,-61,-74,-75,-78,-85
10,-60,-71,-68,-65,-70
10,-65,-71,-67,-72,-73
10,-63,-72,-67,-71,-77
10,-60,-70,-67,-65,-76
10,-62,-76,-67,-71,-74
10,-59,-75,-67,-73,-69
10,-64,-72,-70,-71,-72
10,-59,-71,-67,-62,-81
10,-65,-69,-73,-64,-73
10,-68,-70,-68,-68,-69
10,-69,-69,-67,-69,-75
10,-60,-71,-66,-73,-73
10,-67,-70,-68,-69,-75
10,-60,-77,-66,-75,-73
10,-67,-70,-66,-69,-75
10,-60,-70,-67,-74,-73
10,-67,-71,-67,-62,-75
10,-60,-77,-66,-74,-73
10,-68,-71,-66,-69,-75
10,-67,-72,-66,-63,-71
10,-66,-77,-75,-67,-72
10,-67,-74,-66,-63,-72
10,-68,-74,-71,-69,-72
10,-61,-73,-66,-71,-70
10,-66,-71,-74,-66,-75
10,-63,-70,-76,-74,-71
10,-59,-71,-66,-72,-75
10,-66,-70,-76,-71,-73
10,-68,-77,-66,-69,-76
10,-67,-77,-77,-69,-71
10,-66,-71,-66,-74,-74
10,-68,-77,-71,-71,-73
10,-68,-77,-76,-69,-71
10,-61,-70,-68,-74,-76
10,-68,-76,-74,-69,-72
10,-68,-70,-67,-65,-76
10,-61,-70,-74,-69,-73
10,-68,-74,-66,-63,-69
10,-61,-71,-76,-69,-76
10,-68,-70,-68,-72,-69
10,-68,-71,-76,-68,-73
10,-61,-70,-68,-64,-70
10,-68,-75,-66,-69,-76
10,-60,-71,-68,-74,-70
10,-67,-75,-77,-69,-76
10,-63,-76,-77,-74,-70
10,-59,-71,-66,-69,-76
10,-67,-70,-76,-69,-70
10,-63,-71,-67,-65,-73
10,-64,-70,-67,-65,-71
10,-61,-76,-76,-69,-73
10,-66,-70,-76,-74,-74
10,-65,-70,-66,-66,-73
10,-68,-70,-66,-71,-72
10,-67,-76,-66,-74,-71
10,-66,-71,-66,-63,-76
10,-59,-76,-66,-65,-73
10,-67,-70,-75,-69,-76
10,-59,-70,-74,-65,-76
10,-68,-70,-66,-69,-73
