deadCars,flux,queue,time,class,density,totalCars
0,1.14,0,1,5,0.23,2
0,1.14,0,2,5,0.23,2
0,1.02,0,3,4.5,0.23,2
0,1.7,0,4,5,0.34,3
0,2.61,0,5,4.6,0.57,5
0,3.75,0,6,4.71,0.8,7
0,4.09,0,7,4.5,0.91,8
0,5.23,0,8,4.6,1.14,10
0,6.48,0,9,4.75,1.36,12
0,6.82,0,10,4.62,1.48,13
0,6.7,0,11,4.54,1.48,13
0,6.82,0,12,4.62,1.48,13
0,6.82,0,13,4.62,1.48,13
0,6.7,0,14,4.54,1.48,13
0,6.59,0,15,4.46,1.48,13
0,7.5,0,16,4.4,1.7,15
0,7.84,0,17,4.31,1.82,16
0,8.41,0,18,4.11,2.05,18
0,8.52,0,19,3.95,2.16,19
0,8.41,0,20,3.89,2.16,19
0,8.64,0,21,3.8,2.27,20
0,8.86,0,22,3.71,2.39,21
0,9.2,0,23,3.68,2.5,22
0,9.66,0,24,3.86,2.5,22
0,10.23,0,25,4.09,2.5,22
0,10.11,0,26,4.05,2.5,22
0,11.25,0,27,4.3,2.61,23
0,12.27,0,28,4.32,2.84,25
0,13.52,0,29,4.41,3.07,27
0,13.41,0,30,4.07,3.3,29
0,12.73,0,31,3.61,3.52,31
0,13.64,0,32,3.75,3.64,32
0,14.55,0,33,3.76,3.86,34
0,15.23,0,34,3.72,4.09,36
0,15.68,0,35,3.73,4.2,37
0,13.98,0,36,3.32,4.2,37
0,14.89,0,37,3.45,4.32,38
0,14.43,0,38,3.17,4.55,40
0,13.3,0,39,2.79,4.77,42
0,13.3,0,40,2.72,4.89,43
0,14.89,0,41,2.91,5.11,45
0,16.02,0,42,3.07,5.23,46
0,17.27,0,43,3.17,5.45,48
0,19.66,0,44,3.46,5.68,50
0,21.93,0,45,3.78,5.8,51
0,23.18,0,46,3.92,5.91,52
0,24.2,0,47,3.94,6.14,54
0,24.77,0,48,4.04,6.14,54
0,26.36,0,49,4.22,6.25,55
0,25.68,0,50,4.11,6.25,55
0,24.2,0,51,3.87,6.25,55
