Hora,DiaSemana,busID,Orientacion,ProximaParada,Ruta
21,4,5693,0,MTA_401686,MTANYCT_M15
11,4,4557,0,MTA_306960,MTANYCT_B62
8,4,4007,0,NULL,MTANYCT_S62
23,4,9642,0,MTA_500100,MTANYCT_Q2
11,4,338,1,MTA_305217,MTANYCT_B61
15,4,6717,0,MTA_404191,MTANYCT_M1
19,4,3214,0,MTA_552507,MTABC_QM1
0,5,5339,1,MTA_302832,MTANYCT_B44+
2,5,6510,1,MTA_302431,MTANYCT_B52
17,4,6636,0,MTA_400933,MTANYCT_M5
11,4,9387,1,MTA_305060,MTANYCT_B60
13,4,4539,0,MTA_303135,MTANYCT_B47
13,4,3600,0,MTA_550416,MTABC_Q52
16,4,296,0,MTA_103638,MTANYCT_BX6
11,4,6029,0,MTA_100068,MTANYCT_BX7
20,4,5289,1,MTA_403893,MTANYCT_M14D
22,4,4365,0,MTA_402544,MTANYCT_BX7
21,4,4705,0,MTA_102934,MTANYCT_BX15
21,4,9193,1,MTA_500410,MTANYCT_Q4
23,4,5737,0,MTA_802009,MTANYCT_BX39
11,4,232,1,MTA_302981,MTANYCT_B37
11,4,293,1,MTA_100773,MTANYCT_BX11
20,4,4341,0,MTA_100607,MTANYCT_BX10
15,4,366,0,MTA_308355,MTANYCT_B70
19,4,5934,0,MTA_103996,MTANYCT_Q44
7,4,4522,1,MTA_901463,MTANYCT_B52
2,5,292,1,MTA_100428,MTANYCT_BX6
22,4,2235,0,MTA_402132,MTABC_BM2
16,4,9391,1,MTA_502391,MTANYCT_Q46
18,4,3718,0,MTA_550881,MTABC_Q23
16,4,219,1,MTA_551809,MTABC_Q65
11,4,3926,0,MTA_403736,MTANYCT_M57
11,4,517,1,MTA_350076,MTABC_B103
17,4,5708,1,MTA_404092,MTANYCT_M103
11,4,5834,0,MTA_403545,MTANYCT_M103
11,4,2899,0,MTA_404887,MTANYCT_X15
12,4,4319,0,MTA_203592,MTANYCT_X19
7,4,2736,0,MTA_250054,MTANYCT_X1
10,4,7066,0,MTA_203687,MTANYCT_S96
14,4,3973,0,MTA_307460,MTANYCT_B52
0,5,9555,0,MTA_502630,MTANYCT_Q88
16,4,4989,0,MTA_503647,MTANYCT_Q24
20,4,4119,0,MTA_200542,MTANYCT_S62
16,4,219,1,MTA_551730,MTABC_Q65
13,4,5852,1,MTA_403519,MTANYCT_M34+
16,4,7781,1,MTA_100433,MTANYCT_BX6
17,4,6367,0,MTA_405392,MTANYCT_M4
19,4,5687,0,MTA_550319,MTABC_Q10
20,4,5539,1,MTA_550354,MTABC_Q10
18,4,9648,1,MTA_300640,MTANYCT_B6
12,4,3271,1,MTA_450451,MTABC_BXM7
6,4,8027,0,MTA_501936,MTANYCT_Q36
11,4,9682,0,MTA_304978,MTANYCT_B60
21,4,2904,1,MTA_403984,MTANYCT_X42
10,4,7570,1,MTA_305670,MTANYCT_B67
22,4,9357,0,MTA_504545,MTANYCT_Q46
15,4,3646,0,MTA_550487,MTABC_Q41
11,4,6550,0,MTA_302947,MTANYCT_B38
3,5,5769,0,MTA_100214,MTANYCT_BX4
13,4,2461,0,MTA_301604,MTANYCT_X27
13,4,191,0,MTA_505217,MTABC_Q34
14,4,4052,1,MTA_203919,MTANYCT_S55
12,4,226,1,MTA_550452,MTABC_Q53
19,4,555,0,MTA_501363,MTABC_Q34
21,4,3905,0,MTA_803177,MTANYCT_M8
12,4,3448,1,MTA_450451,MTABC_BXM8
13,4,4061,1,MTA_101530,MTANYCT_BX28
15,4,5980,1,MTA_402018,MTANYCT_M60+
13,4,5129,0,MTA_303422,MTANYCT_B44
18,4,4140,0,MTA_550030,MTABC_Q08
13,4,5552,1,MTA_403416,MTANYCT_M101
14,4,4749,1,MTA_102821,MTANYCT_BX41
10,4,4260,0,MTA_901225,MTANYCT_S79+
10,4,4382,1,MTA_100897,MTANYCT_BX13
15,4,4026,1,MTA_550661,MTABC_Q49
13,4,7658,1,MTA_100414,MTANYCT_BX6
22,4,3100,0,MTA_404040,MTABC_BXM2
18,4,6314,0,MTA_200966,MTANYCT_S59
11,4,7694,1,MTA_403653,MTANYCT_BX35
21,4,4731,1,MTA_103072,MTANYCT_BX41
21,4,3314,0,MTA_150041,MTABC_BXM9
15,4,3100,0,MTA_150148,MTABC_BXM11
12,4,6678,1,MTA_401334,MTANYCT_M10
20,4,467,1,MTA_308214,MTANYCT_B63
23,4,4133,0,MTA_200847,MTANYCT_S44
22,4,3448,0,MTA_450413,MTABC_BXM10
20,4,7717,1,MTA_101445,MTANYCT_BX21
18,4,4792,0,MTA_103941,MTANYCT_BX12
14,4,6115,1,MTA_100730,MTANYCT_BX28
21,4,4444,1,MTA_203991,MTANYCT_S55
14,4,3812,0,MTA_401227,MTANYCT_M20
14,4,4159,1,MTA_308380,MTABC_Q08
16,4,4098,1,MTA_400459,MTANYCT_BX7
0,5,4083,1,MTA_100981,MTANYCT_BX24
11,4,355,1,MTA_301718,MTANYCT_B16
19,4,5016,0,MTA_401038,MTANYCT_M116
15,4,8920,0,MTA_550709,MTABC_Q69
21,4,6840,1,MTA_308202,MTANYCT_B82
23,4,4988,0,MTA_503381,MTANYCT_Q56
14,4,5034,0,MTA_306222,MTANYCT_B83
13,4,5229,0,MTA_403240,MTANYCT_M42
2,5,9514,0,MTA_801031,MTANYCT_B48
22,4,6027,1,MTA_101745,MTABC_BX23
23,4,5030,0,MTA_303593,MTANYCT_B46
15,4,260,1,MTA_303777,MTANYCT_B43
0,5,5066,0,MTA_403491,MTANYCT_M66
20,4,5308,1,MTA_101545,MTANYCT_BX39
15,4,1283,0,MTA_401707,MTANYCT_M15+
10,4,6020,1,MTA_150138,MTABC_Q50
8,4,3607,0,MTA_550892,MTABC_Q23
21,4,9386,1,MTA_306189,MTANYCT_B47
23,4,2215,1,MTA_404993,MTANYCT_X10
16,4,4132,1,MTA_550193,MTABC_Q08
2,5,6090,1,MTA_400812,MTANYCT_BX7
15,4,5171,0,MTA_303593,MTANYCT_B46
19,4,3912,1,MTA_402189,MTANYCT_M50
10,4,3844,0,MTA_400225,MTANYCT_M2
13,4,5168,0,MTA_804053,MTANYCT_Q5
1,5,4104,0,MTA_307699,MTANYCT_B26
17,4,7773,0,MTA_100383,MTANYCT_BX6
3,5,4505,0,MTA_551420,MTABC_Q39
11,4,7030,1,MTA_203420,MTANYCT_S48
14,4,498,0,MTA_303314,MTABC_B103
12,4,4191,1,MTA_904020,MTANYCT_Q28
0,5,4485,1,MTA_551590,MTABC_Q47
0,5,5132,1,MTA_303686,MTANYCT_B46
12,4,4536,1,MTA_503241,MTANYCT_Q59
18,4,6706,1,MTA_401314,MTANYCT_M10
20,4,6778,0,MTA_401935,MTANYCT_M96
11,4,2897,0,MTA_402233,MTANYCT_X12
11,4,5644,0,MTA_403480,MTANYCT_M15
0,5,6799,0,MTA_307491,MTANYCT_B25
18,4,3970,0,MTA_505218,MTANYCT_B54
19,4,2773,0,MTA_403132,MTANYCT_X1
17,4,2884,0,MTA_201012,MTANYCT_X1
20,4,3585,1,MTA_551066,MTABC_Q29
21,4,5189,1,MTA_901093,MTANYCT_B46
20,4,6007,1,MTA_100705,MTANYCT_BX10
13,4,7663,0,MTA_100373,MTANYCT_BX6
0,5,3946,1,MTA_903077,MTANYCT_M20
23,4,561,1,MTA_553139,MTABC_Q25
18,4,4198,1,MTA_502769,MTANYCT_Q76
4,4,3897,0,MTA_403562,MTANYCT_M31
4,4,3562,0,MTA_550179,MTABC_Q08
14,4,7014,0,MTA_200266,MTANYCT_S53
15,4,5979,0,MTA_402661,MTANYCT_M60+
15,4,8004,NULL,NULL,NULL
12,4,4178,0,MTA_503856,MTANYCT_Q48
20,4,3598,1,MTA_550551,MTABC_Q18
11,4,4529,0,MTA_503489,MTANYCT_Q58
18,4,7026,0,MTA_200270,MTANYCT_S46
21,4,4342,1,MTA_404324,MTANYCT_BX3
20,4,6247,1,MTA_404066,MTANYCT_BX7
10,4,9506,0,MTA_504267,MTANYCT_Q54
1,5,4099,1,MTA_404140,MTANYCT_BX7
17,4,3995,1,MTA_308016,MTANYCT_B26
10,4,7086,0,MTA_201485,MTANYCT_S98
21,4,4270,1,MTA_201132,MTANYCT_S79+
19,4,9114,0,MTA_552993,MTABC_Q52
22,4,6374,0,MTA_404279,MTANYCT_M11
20,4,4481,1,MTA_501370,MTANYCT_Q27
16,4,3374,1,MTA_450064,MTABC_BXM7
18,4,3471,0,MTA_552507,MTABC_QM7
18,4,3129,0,MTA_551145,MTABC_QM20
22,4,413,1,MTA_306594,MTANYCT_B68
22,4,6486,0,MTA_502317,MTANYCT_Q46
11,4,492,1,MTA_300621,MTABC_B103
23,4,8904,1,MTA_503953,MTANYCT_Q56
22,4,9654,1,MTA_501590,MTANYCT_Q27
19,4,6303,0,MTA_201463,MTANYCT_S57
10,4,4247,0,MTA_203075,MTANYCT_S79+
13,4,434,0,MTA_305728,MTANYCT_B68
1,5,1004,0,MTA_404169,MTANYCT_M103
11,4,5946,0,MTA_103748,MTANYCT_BX19
1,5,3848,1,MTA_903085,MTANYCT_M4
23,4,4427,0,MTA_101141,MTANYCT_BX16
17,4,4387,0,MTA_100069,MTANYCT_BX7
21,4,3839,0,MTA_400002,MTANYCT_M3
6,4,9400,0,MTA_306658,MTANYCT_B36
14,4,5276,0,MTA_401140,MTANYCT_M14A
23,4,5285,0,MTA_401194,MTANYCT_M14D
1,5,5634,1,MTA_403425,MTANYCT_M102
18,4,5776,0,MTA_103136,MTANYCT_BX41+
13,4,4029,0,MTA_552010,MTABC_Q72
15,4,4419,0,MTA_101159,MTANYCT_BX16
3,5,6858,0,MTA_503311,MTANYCT_Q32
23,4,5043,1,MTA_307840,MTANYCT_B41
11,4,6647,1,MTA_404011,MTANYCT_M5
19,4,6076,0,MTA_402379,MTANYCT_Q32
2,5,5296,0,MTA_401192,MTANYCT_M14D
12,4,9190,0,MTA_305409,MTANYCT_B65
17,4,9520,0,MTA_306969,MTANYCT_B57
22,4,3599,0,MTA_553059,MTABC_Q47
21,4,2487,1,MTA_305512,MTANYCT_X28
21,4,7006,1,MTA_200700,MTANYCT_S53
0,5,5858,1,MTA_404116,MTANYCT_M34A+
9,4,8056,1,MTA_500685,MTANYCT_Q85
22,4,3423,0,MTA_101743,MTABC_BXM7
12,4,6002,1,MTA_101761,MTANYCT_BX26
12,4,5222,0,MTA_403996,MTANYCT_M66
20,4,276,1,MTA_802065,MTANYCT_BX31
20,4,6022,0,MTA_150139,MTABC_Q50
13,4,1243,0,MTA_401712,MTANYCT_M15+
21,4,6115,0,MTA_101732,MTANYCT_BX28
22,4,5713,0,MTA_102962,MTANYCT_BX2
23,4,6793,0,MTA_303557,MTANYCT_B65
11,4,561,1,MTA_553024,MTABC_Q66
22,4,4568,1,MTA_305181,MTANYCT_B62
11,4,8080,0,MTA_503936,MTANYCT_Q85
2,5,6482,1,MTA_501370,MTANYCT_Q27
15,4,4083,0,MTA_100949,MTANYCT_BX24
13,4,3597,1,MTA_550899,MTABC_Q23
20,4,3832,1,MTA_400640,MTANYCT_M4
11,4,7693,0,MTA_103022,MTANYCT_BX6
14,4,5948,1,MTA_403690,MTANYCT_BX19
19,4,3096,0,MTA_450050,MTABC_BXM1
22,4,5304,0,MTA_401578,MTANYCT_M14D
16,4,441,1,MTA_300765,MTANYCT_B8
10,4,2789,0,MTA_203093,MTANYCT_X8
23,4,3812,0,MTA_405366,MTANYCT_M20
12,4,3247,1,MTA_450017,MTABC_QM15
12,4,9682,1,MTA_305021,MTANYCT_B60
20,4,9669,1,MTA_303096,MTANYCT_B38
16,4,4980,1,MTA_306452,MTANYCT_B82
10,4,7727,0,MTA_102385,MTANYCT_BX36
23,4,6732,1,MTA_402229,MTANYCT_M57
17,4,5874,0,MTA_402004,MTANYCT_M102
11,4,9497,0,MTA_503464,MTANYCT_Q58
11,4,318,0,MTA_100500,MTANYCT_BX8
2,5,4889,1,MTA_300659,MTANYCT_B6
14,4,529,1,MTA_550985,MTABC_Q34
19,4,4544,1,MTA_303075,MTANYCT_B38
22,4,3655,1,MTA_350260,MTABC_Q35
3,5,4847,1,MTA_302198,MTANYCT_Q24
20,4,260,0,MTA_300796,MTANYCT_B8
17,4,273,1,MTA_403829,MTANYCT_BX15
9,4,9466,1,MTA_306144,MTANYCT_B47
21,4,3809,1,MTA_403249,MTANYCT_M42
16,4,3753,0,MTA_503793,MTABC_Q10
0,5,6470,1,MTA_503167,MTANYCT_Q83
14,4,5961,0,MTA_101335,MTANYCT_BX19
13,4,2417,0,MTA_201011,MTANYCT_X1
19,4,6415,0,MTA_400352,MTANYCT_M3
18,4,8019,1,MTA_502256,MTANYCT_Q27
13,4,5244,0,MTA_401345,MTANYCT_M72
20,4,4748,0,MTA_100029,MTANYCT_BX1
22,4,232,0,MTA_308255,MTANYCT_B37
20,4,4508,0,MTA_551118,MTABC_Q33
13,4,9697,1,MTA_303315,MTANYCT_B41
9,4,5280,0,MTA_403523,MTANYCT_M79
3,5,4829,0,MTA_301960,MTANYCT_B83
11,4,6621,0,MTA_306857,MTANYCT_B84
19,4,4323,1,MTA_401851,MTANYCT_X17J
20,4,5067,1,MTA_903079,MTANYCT_M21
3,5,6695,1,MTA_403466,MTANYCT_M3
23,4,6758,1,MTA_401958,MTANYCT_M96
16,4,3533,0,MTA_552357,MTABC_Q111
15,4,3775,1,MTA_552323,MTABC_Q113
19,4,1216,0,MTA_104329,MTANYCT_BX12+
23,4,3580,0,MTA_551093,MTABC_Q29
21,4,6463,1,MTA_501666,MTANYCT_Q27
5,4,8001,1,MTA_500305,MTANYCT_Q27
1,5,4217,0,MTA_502181,MTANYCT_Q20A
12,4,4614,0,MTA_303158,MTANYCT_B46
22,4,1207,1,MTA_100305,MTANYCT_BX12
19,4,4104,1,MTA_504238,MTANYCT_Q58
19,4,384,0,MTA_301170,MTANYCT_B11
13,4,6548,0,MTA_307689,MTANYCT_B52
18,4,3919,0,MTA_903089,MTANYCT_M104
20,4,3554,0,MTA_551813,MTABC_Q64
18,4,4379,1,MTA_103916,MTANYCT_BX10
20,4,4901,0,MTA_904912,MTANYCT_Q17
0,5,7007,1,MTA_200782,MTANYCT_S42
16,4,4449,1,MTA_203695,MTANYCT_S78
22,4,3580,1,MTA_551097,MTABC_Q29
10,4,9565,1,MTA_502102,MTANYCT_Q43
16,4,5343,1,MTA_307905,MTANYCT_B44+
17,4,4020,0,MTA_553284,MTABC_Q70
13,4,7576,1,MTA_300404,MTANYCT_B4
22,4,2836,1,MTA_905063,MTANYCT_X31
12,4,406,0,MTA_308230,MTANYCT_B35
20,4,7673,0,MTA_101221,MTANYCT_BX17
5,4,5912,1,MTA_103388,MTANYCT_Q44
20,4,9683,0,MTA_303232,MTANYCT_B41
