Model,Mean,STD,Time
LinearDiscriminantAnalysis,0.981,0.039,0.057
BaggingClassifier,0.971,0.044000000000000004,0.161
XGBoostClassifier,0.9620000000000001,0.048,0.49
GaussianNB,0.981,0.038,0.04
GradientBoostingClassifier,0.962,0.048,0.953
ExtraTreesClassifier,0.962,0.048,0.156
SVC,0.971,0.044000000000000004,0.065
DecisionTreeClassifier,0.9520000000000001,0.066,0.055
KNeighborsClassifier,0.943,0.065,0.06
LogisticRegression,0.8859999999999999,0.094,0.07
RandomForestClassifier,0.981,0.039,0.171
VotingClassifier,0.962,0.048,1.219
