Model,Mean,STD,Time
LogisticRegression,0.992,0.025,0.086
RandomForestClassifier,0.968,0.04,0.18899999999999997
GaussianNB,0.968,0.04,0.046
LinearDiscriminantAnalysis,0.984,0.033,0.048
MLPClassifier,0.976,0.038,1.517
SVC,0.976,0.037,0.07
BaggingClassifier,0.96,0.04,0.15
ExtraTreesClassifier,0.96,0.055,0.164
KNeighborsClassifier,0.952,0.04,0.061
VotingClassifier,0.952,0.055,1.274
GradientBoostingClassifier,0.944,0.053,1.037
XGBoostClassifier,0.935,0.05,0.595
LGBMClassifier,0.935,0.071,0.281
AdaBoostClassifier,0.903,0.095,0.611
DecisionTreeClassifier,0.895,0.075,0.064
