aibo1,aibo2,aibo3,aibo4,aibo5,class
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-42,-44,-52,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-48,-53,-67,-64,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-43,-46,-56,-67,-70,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
-44,-46,-54,-67,-71,0
