0,1,2,3,4,class
-77,-92,-79,-89,-89,10
-77,-89,-79,-87,-89,10
-79,-89,-84,-87,-88,10
-83,-81,-79,-87,-90,10
-79,-84,-82,-87,-88,10
-78,-88,-78,-87,-87,10
-76,-87,-77,-85,-82,10
-80,-84,-78,-87,-85,10
-75,-84,-77,-90,-89,10
-78,-83,-77,-88,-87,10
-78,-83,-77,-89,-85,10
-75,-84,-78,-87,-83,10
-76,-83,-77,-87,-81,10
-77,-90,-76,-87,-83,10
-77,-85,-77,-86,-82,10
-76,-83,-79,-86,-87,10
-81,-84,-78,-88,-87,10
-76,-92,-78,-87,-84,10
-79,-84,-78,-88,-87,10
-79,-83,-77,-89,-89,10
-80,-84,-78,-87,-91,10
-79,-84,-79,-87,-91,10
-78,-85,-77,-86,-86,10
-78,-84,-75,-88,-88,10
-77,-84,-78,-87,-89,10
-73,-85,-76,-88,-88,10
-78,-82,-76,-87,-86,10
-80,-82,-81,-87,-89,10
-78,-86,-77,-88,-85,10
-80,-82,-77,-86,-88,10
-74,-83,-79,-84,-87,10
-78,-90,-78,-87,-89,10
-79,-84,-79,-85,-88,10
-76,-83,-78,-87,-85,10
-77,-82,-78,-87,-84,10
-75,-83,-75,-86,-88,10
-75,-89,-84,-86,-87,10
-75,-81,-83,-87,-91,10
-80,-83,-75,-88,-88,10
-79,-83,-79,-85,-87,10
-78,-85,-77,-87,-85,10
-76,-90,-78,-87,-83,10
-77,-87,-77,-85,-87,10
-80,-88,-74,-88,-89,10
-80,-87,-79,-87,-88,10
-79,-90,-78,-88,-90,10
-80,-86,-79,-85,-84,10
-79,-84,-76,-87,-90,10
-79,-90,-77,-87,-89,10
-77,-89,-76,-85,-86,10
-77,-84,-79,-84,-86,10
-78,-89,-78,-87,-92,10
-75,-83,-76,-84,-91,10
-80,-83,-78,-84,-86,10
-81,-91,-82,-87,-86,10
-81,-91,-79,-87,-90,10
-78,-83,-77,-86,-85,10
-75,-82,-77,-84,-86,10
-75,-80,-80,-87,-87,10
-79,-82,-78,-85,-87,10
-80,-90,-77,-86,-91,10
-82,-90,-79,-87,-90,10
-80,-90,-77,-89,-90,10
-79,-85,-78,-89,-89,10
-79,-86,-78,-88,-91,10
-80,-91,-77,-89,-89,10
-79,-87,-78,-88,-86,10
-79,-84,-77,-88,-83,10
-78,-84,-77,-88,-84,10
-77,-84,-77,-86,-86,10
-81,-83,-80,-86,-88,10
-78,-83,-80,-88,-85,10
-78,-83,-77,-87,-87,10
-78,-84,-77,-85,-87,10
-80,-84,-78,-88,-91,10
-74,-83,-77,-89,-88,10
-75,-83,-77,-89,-85,10
-80,-81,-79,-87,-89,10
-77,-83,-77,-87,-89,10
-79,-83,-78,-86,-89,10
-81,-79,-78,-85,-87,11
-79,-86,-83,-87,-89,11
-78,-84,-77,-85,-84,11
-80,-84,-80,-91,-84,11
-78,-80,-82,-85,-86,11
-79,-81,-79,-86,-83,11
-80,-81,-79,-89,-81,11
-80,-85,-81,-89,-89,11
-80,-91,-75,-89,-82,11
-79,-81,-84,-84,-83,11
-81,-80,-81,-88,-82,11
-82,-82,-83,-85,-83,11
-79,-83,-82,-84,-82,11
-78,-80,-79,-86,-82,11
-80,-82,-79,-86,-83,11
-81,-84,-81,-85,-84,11
-78,-78,-81,-87,-82,11
-79,-85,-77,-85,-83,11
-77,-84,-78,-84,-83,11
-81,-83,-82,-86,-82,11
-81,-81,-80,-86,-89,11
-79,-83,-77,-86,-90,11
-81,-77,-80,-85,-86,11
-81,-83,-76,-87,-82,11
-83,-82,-79,-84,-81,11
-80,-82,-79,-87,-87,11
-76,-83,-84,-87,-82,11
-81,-79,-80,-89,-87,11
-79,-82,-79,-86,-83,11
-78,-82,-80,-86,-84,11
-78,-82,-81,-86,-84,11
-79,-79,-77,-86,-83,11
-80,-81,-81,-86,-84,11
-78,-87,-81,-89,-83,11
-79,-81,-80,-84,-83,11
-78,-81,-80,-86,-84,11
-81,-82,-76,-86,-83,11
-77,-87,-80,-84,-83,11
-80,-80,-78,-87,-83,11
-77,-77,-79,-89,-83,11
-77,-79,-83,-84,-83,11
-78,-82,-78,-85,-83,11
-77,-86,-77,-89,-83,11
-80,-82,-83,-84,-84,11
-77,-83,-83,-84,-83,11
-78,-85,-79,-86,-83,11
-79,-82,-82,-88,-83,11
-77,-79,-79,-85,-83,11
-78,-84,-81,-87,-83,11
-78,-84,-79,-88,-83,11
-78,-84,-76,-86,-83,11
-79,-90,-80,-88,-84,11
-80,-90,-82,-89,-84,11
-78,-85,-81,-87,-84,11
-78,-86,-81,-86,-84,11
-79,-80,-80,-88,-84,11
-78,-83,-83,-87,-83,11
-80,-81,-83,-86,-84,11
-80,-82,-80,-87,-84,11
-79,-82,-81,-87,-83,11
-78,-80,-83,-89,-84,11
-79,-89,-83,-92,-84,11
-79,-83,-81,-88,-85,11
-78,-86,-81,-86,-92,11
-80,-81,-82,-86,-83,11
-79,-85,-77,-83,-82,11
-80,-84,-81,-81,-88,11
-78,-83,-79,-84,-84,11
-79,-82,-78,-85,-84,11
-79,-80,-77,-86,-87,11
-79,-83,-75,-85,-89,11
-79,-83,-79,-86,-84,11
-81,-84,-79,-86,-82,11
-78,-85,-76,-86,-83,11
-78,-85,-80,-88,-85,11
-79,-85,-82,-88,-88,11
-80,-91,-78,-87,-83,11
-76,-81,-79,-87,-84,11
-80,-81,-79,-85,-88,11
-79,-79,-76,-88,-88,11
-80,-82,-80,-85,-83,11
-83,-87,-79,-82,-82,11
-82,-83,-76,-83,-83,11
-82,-87,-79,-83,-83,11
-82,-87,-81,-84,-83,11
-81,-86,-80,-85,-83,11
-78,-80,-82,-84,-83,11
-77,-86,-78,-89,-82,11
-78,-84,-83,-85,-85,11
-81,-85,-80,-87,-83,11
-81,-83,-80,-86,-82,11
-81,-80,-78,-86,-82,11
-80,-87,-81,-87,-83,11
-79,-83,-80,-84,-84,11
-79,-80,-77,-84,-83,11
-80,-85,-83,-84,-83,11
-80,-80,-75,-84,-84,11
-80,-81,-83,-83,-85,11
-80,-87,-80,-90,-87,11
-85,-85,-76,-88,-82,11
-81,-83,-79,-85,-84,11
-83,-80,-80,-84,-83,11
-82,-80,-81,-89,-90,11
-80,-81,-80,-89,-84,11
-81,-89,-84,-91,-80,12
-80,-90,-84,-90,-80,12
-82,-87,-83,-93,-81,12
-78,-89,-85,-90,-80,12
-83,-88,-83,-88,-81,12
-80,-87,-84,-93,-81,12
-81,-88,-84,-91,-80,12
-81,-88,-83,-93,-79,12
-79,-87,-83,-91,-80,12
-78,-87,-83,-92,-80,12
-77,-87,-82,-90,-83,12
-74,-87,-82,-90,-80,12
-78,-91,-83,-91,-83,12
-80,-88,-83,-92,-82,12
-75,-92,-80,-84,-88,12
-75,-92,-80,-82,-88,12
-84,-92,-80,-82,-88,12
-75,-92,-89,-82,-89,12
-75,-92,-80,-87,-89,12
-75,-92,-90,-87,-89,12
-75,-92,-90,-82,-89,12
-75,-92,-90,-84,-89,12
-84,-92,-89,-82,-88,12
-84,-92,-80,-81,-88,12
-83,-92,-80,-81,-88,12
-83,-92,-80,-82,-88,12
-75,-92,-89,-82,-88,12
-75,-92,-86,-82,-88,12
-75,-92,-86,-84,-88,12
-84,-92,-80,-84,-88,12
-84,-92,-86,-84,-88,12
-84,-92,-86,-84,-90,12
-84,-92,-86,-81,-90,12
-75,-92,-86,-81,-90,12
-75,-92,-80,-81,-90,12
-75,-92,-87,-81,-90,12
-75,-92,-87,-81,-89,12
-75,-92,-86,-81,-89,12
-75,-92,-86,-82,-89,12
-74,-92,-86,-84,-89,12
-74,-92,-80,-84,-89,12
-75,-92,-79,-81,-89,12
-74,-92,-87,-81,-89,12
-74,-92,-79,-81,-89,12
-75,-92,-80,-81,-89,12
-83,-92,-89,-82,-89,12
-82,-92,-80,-82,-89,12
-82,-92,-80,-85,-89,12
-84,-92,-80,-85,-89,12
-75,-92,-80,-85,-89,12
-75,-92,-87,-85,-89,12
-75,-92,-80,-85,-88,12
-75,-92,-87,-85,-88,12
-75,-92,-89,-85,-88,12
-75,-92,-89,-81,-88,12
-75,-92,-80,-81,-88,12
-84,-92,-80,-85,-88,12
-84,-92,-90,-85,-88,12
-84,-92,-90,-82,-88,12
-75,-92,-90,-82,-88,12
-83,-92,-90,-82,-88,12
-83,-92,-80,-84,-88,12
-84,-92,-87,-85,-89,12
-75,-92,-87,-85,-90,12
-75,-92,-87,-84,-90,12
-75,-92,-79,-84,-90,12
-75,-92,-89,-84,-90,12
-75,-92,-89,-81,-90,12
-83,-92,-89,-81,-90,12
-83,-92,-80,-81,-90,12
-83,-92,-87,-86,-90,12
-75,-92,-87,-86,-90,12
-75,-92,-80,-86,-90,12
-75,-92,-80,-85,-90,12
-84,-92,-80,-85,-90,12
-84,-92,-80,-80,-90,12
-74,-92,-80,-80,-90,12
-74,-92,-80,-84,-90,12
-74,-92,-85,-84,-90,12
-74,-92,-85,-80,-90,12
-74,-92,-85,-83,-90,12
-74,-92,-80,-83,-90,12
-76,-92,-80,-84,-90,12
-76,-92,-84,-84,-90,12
-76,-92,-84,-83,-90,12
-76,-92,-79,-83,-90,12
-76,-92,-79,-85,-90,12
-76,-92,-87,-85,-90,12
-83,-92,-87,-85,-90,12
-83,-92,-78,-82,-90,12
-76,-92,-78,-82,-90,12
-89,-92,-78,-82,-90,12
-89,-92,-89,-82,-90,12
-78,-92,-89,-82,-90,12
-78,-92,-82,-82,-90,12
-78,-92,-82,-84,-90,12
-87,-92,-82,-84,-90,12
-77,-92,-82,-84,-90,12
-77,-92,-85,-84,-90,12
-77,-92,-85,-85,-90,12
-77,-92,-91,-85,-90,12
-77,-92,-91,-83,-90,12
-77,-92,-77,-83,-90,12
-84,-92,-77,-83,-90,12
-78,-92,-77,-83,-90,12
-77,-92,-77,-86,-90,12
-77,-92,-83,-86,-90,12
-86,-92,-83,-86,-90,12
-86,-92,-77,-86,-90,12
-81,-85,-77,-82,-86,13
-80,-89,-76,-81,-87,13
-77,-85,-80,-83,-87,13
-80,-85,-79,-84,-87,13
-79,-86,-81,-85,-87,13
-80,-86,-83,-86,-85,13
-79,-84,-83,-91,-86,13
-80,-84,-78,-83,-85,13
-82,-86,-79,-83,-87,13
-82,-84,-81,-84,-87,13
-82,-85,-88,-83,-86,13
-80,-86,-78,-83,-87,13
-81,-86,-83,-83,-86,13
-80,-87,-79,-84,-87,13
-79,-86,-84,-84,-86,13
-83,-83,-81,-83,-86,13
-78,-87,-85,-83,-85,13
-79,-84,-77,-83,-87,13
-81,-87,-81,-83,-88,13
-79,-87,-78,-84,-87,13
-81,-87,-76,-84,-85,13
-79,-86,-79,-90,-87,13
-79,-86,-81,-83,-85,13
-78,-84,-78,-84,-85,13
-79,-86,-84,-83,-88,13
-79,-88,-80,-83,-86,13
-79,-90,-85,-84,-85,13
-80,-85,-82,-91,-87,13
-81,-84,-80,-85,-86,13
-79,-83,-80,-83,-86,13
-80,-89,-80,-82,-86,13
-83,-85,-77,-88,-84,13
-79,-89,-81,-86,-87,13
-77,-87,-79,-83,-86,13
-80,-86,-81,-85,-85,13
-80,-87,-79,-81,-84,13
-78,-84,-80,-83,-87,13
-78,-87,-79,-90,-85,13
-79,-85,-79,-83,-86,13
-80,-85,-79,-84,-85,13
-80,-84,-78,-91,-87,13
-81,-84,-79,-81,-88,13
-77,-87,-77,-82,-85,13
-82,-85,-77,-83,-83,13
-78,-85,-76,-83,-88,13
-78,-84,-80,-83,-88,13
-78,-85,-80,-84,-86,13
-78,-83,-79,-83,-84,13
-82,-89,-85,-83,-89,13
-80,-82,-81,-86,-85,13
-80,-84,-80,-84,-91,13
-79,-85,-79,-84,-87,13
-80,-88,-79,-85,-85,13
-78,-88,-81,-83,-81,13
-78,-83,-80,-88,-84,13
-84,-88,-80,-84,-81,13
-86,-83,-76,-87,-84,13
-82,-85,-78,-85,-85,13
-80,-86,-80,-90,-84,13
-77,-84,-80,-81,-85,13
-78,-85,-81,-81,-86,13
-77,-86,-78,-86,-85,13
-77,-85,-82,-84,-85,13
-80,-85,-82,-82,-85,13
-81,-83,-83,-85,-86,13
-77,-86,-78,-83,-84,13
-78,-84,-81,-83,-84,13
-77,-89,-77,-83,-83,13
-80,-87,-77,-83,-84,13
-82,-85,-75,-82,-85,13
-80,-85,-78,-89,-84,13
-83,-83,-75,-83,-86,13
