device_0,device_1,device_2,device_3,device_4,device_5,device_6,device_7,device_8,device_9,class
-38.0,-56.0,-44.0,-54.0,-54.0,-62.0,-66.0,-74.0,-66.0,-66.0,1
-38.0,-54.0,-44.0,-54.0,-54.0,-64.0,-64.0,-74.0,-68.0,-66.0,1
-38.0,-54.0,-44.0,-54.0,-54.0,-64.0,-64.0,-74.0,-68.0,-66.0,1
-38.0,-56.0,-44.0,-54.0,-52.0,-64.0,-66.0,-74.0,-66.0,-66.0,1
-38.0,-56.0,-44.0,-54.0,-54.0,-62.0,-64.0,-74.0,-68.0,-68.0,1
-38.0,-54.0,-44.0,-54.0,-52.0,-62.0,-66.0,-74.0,-66.0,-66.0,1
-38.0,-56.0,-44.0,-54.0,-54.0,-62.0,-66.0,-74.0,-66.0,-66.0,1
-38.0,-56.0,-44.0,-54.0,-52.0,-62.0,-66.0,-74.0,-68.0,-68.0,1
-38.0,-54.0,-44.0,-54.0,-54.0,-64.0,-66.0,-74.0,-66.0,-66.0,1
-38.0,-56.0,-44.0,-54.0,-54.0,-62.0,-66.0,-74.0,-66.0,-66.0,1
-38.0,-56.0,-44.0,-54.0,-52.0,-62.0,-64.0,-74.0,-66.0,-66.0,1
-38.0,-56.0,-44.0,-54.0,-52.0,-64.0,-64.0,-74.0,-66.0,-68.0,1
-38.0,-56.0,-44.0,-54.0,-54.0,-62.0,-64.0,-74.0,-66.0,-66.0,1
-38.0,-56.0,-44.0,-54.0,-54.0,-62.0,-64.0,-74.0,-66.0,-66.0,1
-38.0,-56.0,-44.0,-54.0,-52.0,-64.0,-66.0,-74.0,-66.0,-66.0,1
-38.0,-56.0,-44.0,-54.0,-52.0,-62.0,-66.0,-74.0,-68.0,-68.0,1
-38.0,-56.0,-44.0,-54.0,-52.0,-64.0,-66.0,-74.0,-66.0,-66.0,1
-38.0,-56.0,-44.0,-54.0,-54.0,-62.0,-66.0,-74.0,-68.0,-66.0,1
-38.0,-56.0,-44.0,-54.0,-52.0,-62.0,-66.0,-76.0,-66.0,-68.0,1
-38.0,-56.0,-44.0,-54.0,-54.0,-62.0,-66.0,-74.0,-68.0,-68.0,1
-38.0,-56.0,-44.0,-54.0,-52.0,-64.0,-66.0,-74.0,-68.0,-66.0,1
-38.0,-56.0,-44.0,-54.0,-54.0,-62.0,-66.0,-74.0,-68.0,-68.0,1
-38.0,-56.0,-44.0,-54.0,-54.0,-62.0,-64.0,-74.0,-66.0,-66.0,1
-38.0,-56.0,-44.0,-54.0,-54.0,-64.0,-66.0,-74.0,-66.0,-66.0,1
-38.0,-56.0,-44.0,-54.0,-52.0,-62.0,-66.0,-74.0,-66.0,-68.0,1
-38.0,-56.0,-44.0,-54.0,-58.0,-64.0,-66.0,-74.0,-66.0,-66.0,1
-38.0,-56.0,-44.0,-54.0,-58.0,-64.0,-66.0,-74.0,-68.0,-66.0,1
-38.0,-56.0,-44.0,-54.0,-52.0,-62.0,-66.0,-74.0,-66.0,-66.0,1
-38.0,-56.0,-44.0,-54.0,-52.0,-64.0,-66.0,-74.0,-66.0,-66.0,1
-38.0,-56.0,-46.0,-54.0,-52.0,-64.0,-66.0,-74.0,-66.0,-66.0,1
-38.0,-56.0,-44.0,-52.0,-54.0,-62.0,-66.0,-74.0,-66.0,-66.0,1
