sexo,est.civil,sede,gpo.prof,class,zona,r.edad
0,2,0,9,1,4,3
0,2,0,4,1,4,2
0,2,0,2,4,4,4
0,2,0,0,4,4,2
1,2,0,15,4,3,1
1,2,0,15,4,3,1
0,2,0,9,4,8,3
1,2,0,5,2,4,2
1,2,0,5,2,4,2
1,2,0,12,2,4,2
0,2,1,15,2,4,1
0,0,0,5,1,8,2
1,2,0,2,1,4,2
0,2,0,0,1,4,2
1,2,0,4,1,7,2
0,2,0,7,1,4,2
0,2,0,7,1,4,2
0,2,0,9,1,4,1
0,2,1,9,1,4,1
0,0,0,9,1,4,3
0,2,0,9,1,4,1
0,2,0,9,1,4,1
0,2,0,9,1,3,1
0,2,0,9,1,8,5
0,2,0,9,1,4,3
0,2,0,9,1,4,1
0,2,0,9,1,4,3
0,2,0,15,1,5,3
0,2,1,9,1,7,3
0,0,0,7,1,8,3
1,2,1,7,1,4,3
1,2,0,7,1,4,4
0,2,1,7,1,4,2
0,2,0,7,1,4,3
0,2,1,9,1,7,2
0,2,0,9,1,4,4
0,2,0,5,0,4,2
1,2,0,15,0,4,5
0,0,0,15,0,4,2
0,0,0,15,0,4,2
0,2,0,8,4,4,3
0,2,0,15,4,4,3
0,2,0,15,4,8,5
0,2,0,15,4,4,2
0,2,0,15,4,4,5
1,2,0,15,4,8,5
0,2,0,15,4,8,5
0,2,0,15,4,4,3
1,2,0,15,4,5,3
0,2,2,9,4,3,1
1,2,2,9,4,7,1
1,2,0,2,1,4,3
1,2,0,2,1,4,3
1,2,0,7,1,7,2
1,2,0,7,1,4,2
1,2,0,7,1,8,5
1,2,0,7,1,8,5
1,2,0,7,1,4,1
1,2,0,7,1,4,1
1,2,0,7,1,4,1
1,2,0,9,1,4,1
0,0,0,9,1,4,5
0,0,0,9,1,4,5
0,0,0,9,1,4,5
0,0,0,9,1,4,5
1,2,0,9,1,2,1
1,2,0,9,1,2,1
1,2,0,12,1,5,2
1,2,0,12,1,4,1
1,2,0,12,1,4,1
1,2,0,12,1,4,1
1,2,0,15,1,4,2
1,2,0,15,1,8,5
1,2,0,15,1,8,5
1,0,0,15,1,4,4
1,2,0,4,1,4,2
0,2,0,2,1,4,2
1,2,1,9,1,4,1
0,2,0,9,1,4,5
0,2,0,9,1,4,2
1,2,0,15,1,4,0
1,2,0,15,1,1,5
1,2,0,5,1,4,1
0,2,0,9,1,4,5
1,2,0,5,1,4,0
1,2,0,9,1,4,0
0,2,0,9,1,7,0
0,2,0,9,1,4,0
0,2,0,9,1,3,1
0,2,0,15,1,4,0
1,2,0,15,1,4,1
1,2,0,15,1,4,5
1,2,0,15,1,4,0
1,2,0,15,1,4,0
0,2,0,15,1,7,1
0,2,0,15,1,4,1
1,2,0,15,1,8,0
0,2,0,15,1,4,0
1,2,0,15,1,4,1
1,2,0,6,4,2,1
1,0,0,0,4,4,1
1,2,0,0,4,3,1
1,2,0,0,4,8,1
1,2,0,1,4,5,2
1,2,0,1,4,5,2
0,2,0,9,4,4,1
1,2,0,9,4,4,2
0,2,0,9,4,8,1
0,2,0,9,4,7,1
0,2,0,9,4,4,1
0,2,0,9,4,4,1
1,2,1,9,4,4,2
1,2,0,9,4,4,2
0,2,0,9,4,8,1
0,2,0,9,4,3,2
0,2,1,9,4,8,2
0,2,1,9,4,4,2
0,0,0,15,4,4,1
0,2,0,15,4,5,1
0,2,0,15,4,4,2
0,2,0,15,4,2,1
0,2,0,10,1,4,5
1,2,0,9,1,2,2
1,2,1,9,2,8,0
0,2,0,5,4,4,4
0,2,0,2,4,4,1
0,2,0,2,4,2,2
0,2,0,2,4,2,2
0,0,0,22,4,4,3
0,0,0,2,4,4,2
0,2,0,2,4,4,2
1,2,0,2,4,3,2
1,2,0,2,4,0,3
0,2,0,2,4,4,4
0,2,0,2,4,4,4
0,2,0,2,4,4,2
0,0,0,2,4,4,3
1,0,0,2,4,4,3
0,2,0,2,4,4,3
0,2,0,2,4,4,3
0,2,0,4,4,4,2
0,0,0,7,4,4,4
0,2,0,0,4,2,1
0,2,0,0,4,4,0
1,2,0,6,4,4,1
1,2,0,6,4,4,1
0,2,0,6,4,4,3
1,0,0,0,4,4,1
0,2,0,0,4,4,0
0,2,0,0,4,4,1
0,2,0,0,4,3,0
1,2,0,2,4,7,2
0,2,0,7,4,4,1
0,2,0,6,4,4,4
0,0,0,6,4,4,3
0,2,0,7,4,4,1
1,2,0,18,4,4,3
0,2,0,7,4,3,1
