aibo1,aibo2,aibo3,aibo4,aibo5,class
-41,-53,-56,-71,-71,1
-41,-51,-56,-70,-74,1
-47,-53,-56,-69,-76,1
-49,-53,-62,-62,-67,1
-43,-45,-57,-57,-64,1
-54,-48,-55,-64,-62,1
-47,-45,-64,-62,-64,1
-44,-51,-51,-55,-64,1
-42,-47,-51,-57,-68,1
-41,-48,-49,-57,-70,1
-46,-52,-59,-69,-78,1
-48,-54,-63,-73,-73,1
-40,-55,-54,-65,-71,1
-52,-49,-62,-61,-68,1
-41,-51,-59,-67,-66,1
-47,-48,-84,-58,-67,1
-48,-53,-52,-65,-71,1
-52,-53,-59,-74,-69,1
-48,-50,-65,-65,-74,1
-51,-48,-65,-74,-71,1
-49,-59,-67,-71,-67,1
-50,-55,-59,-67,-76,1
-50,-52,-55,-71,-71,1
-52,-55,-57,-69,-75,1
-55,-50,-57,-68,-67,1
-43,-40,-56,-64,-65,2
-48,-45,-58,-64,-62,2
-47,-38,-54,-61,-62,2
-47,-40,-54,-61,-64,2
-56,-45,-54,-69,-69,2
-48,-48,-59,-73,-68,2
-42,-49,-60,-73,-76,2
-51,-45,-54,-61,-66,2
-50,-42,-55,-57,-62,2
-46,-48,-52,-55,-63,2
-38,-45,-54,-61,-65,2
-49,-46,-61,-69,-74,2
-51,-51,-54,-62,-67,2
-46,-50,-55,-61,-63,2
-47,-46,-53,-65,-66,2
-48,-43,-54,-61,-66,2
-41,-40,-50,-71,-65,3
-39,-41,-58,-59,-64,3
-46,-46,-52,-64,-69,3
-47,-51,-58,-65,-71,3
-40,-53,-66,-65,-73,3
-38,-49,-58,-75,-78,3
-46,-56,-62,-68,-69,3
-48,-59,-59,-67,-67,3
-48,-48,-52,-71,-66,3
-45,-38,-54,-65,-66,3
-39,-38,-50,-59,-67,3
-40,-46,-55,-63,-63,3
-36,-48,-56,-68,-67,3
-51,-44,-51,-67,-72,3
-45,-36,-52,-64,-65,3
-37,-47,-57,-69,-68,3
-37,-52,-56,-70,-71,3
-43,-49,-56,-72,-71,3
-51,-40,-54,-65,-68,4
-52,-37,-52,-65,-68,4
-48,-47,-55,-65,-70,4
-45,-45,-57,-68,-69,4
-50,-34,-51,-64,-70,4
-48,-33,-50,-62,-67,4
-51,-33,-52,-62,-73,4
-49,-37,-59,-67,-73,4
-48,-35,-54,-65,-69,4
-52,-31,-57,-70,-73,4
-53,-37,-56,-64,-73,4
-47,-39,-58,-70,-70,4
-50,-37,-56,-61,-71,4
-52,-31,-61,-67,-67,4
-47,-49,-60,-64,-77,4
-46,-40,-58,-65,-70,4
-46,-37,-56,-68,-67,5
-49,-36,-55,-62,-66,5
-52,-39,-56,-67,-72,5
-50,-34,-55,-62,-64,5
-45,-32,-61,-67,-73,5
-46,-36,-59,-67,-73,5
-50,-35,-52,-58,-73,5
-50,-40,-53,-58,-65,5
-49,-49,-54,-66,-74,5
-57,-48,-54,-65,-64,5
-49,-40,-60,-62,-62,5
-55,-38,-53,-60,-61,5
-48,-49,-57,-69,-65,5
-53,-38,-43,-68,-67,5
-52,-33,-43,-64,-71,5
-73,-74,-55,-47,-37,6
-68,-72,-54,-51,-39,6
-69,-69,-50,-49,-41,6
-69,-62,-51,-39,-38,6
-70,-64,-49,-46,-48,6
-67,-62,-52,-47,-47,6
-73,-64,-49,-45,-39,6
-70,-65,-56,-41,-40,6
-70,-65,-56,-56,-40,6
-73,-73,-50,-51,-45,6
-68,-74,-47,-50,-41,6
-72,-73,-54,-48,-38,6
-78,-71,-58,-47,-39,6
-71,-62,-54,-50,-50,6
-70,-69,-56,-51,-40,6
-64,-67,-45,-41,-43,7
-72,-69,-49,-46,-37,7
-69,-71,-55,-47,-39,7
-74,-74,-54,-54,-39,7
-64,-63,-42,-41,-45,7
-64,-69,-46,-41,-41,7
-73,-61,-47,-35,-41,7
-67,-60,-45,-38,-37,7
-68,-62,-47,-46,-33,7
-75,-69,-52,-42,-33,7
-74,-77,-63,-50,-41,7
-74,-78,-56,-50,-36,7
-73,-63,-51,-41,-40,7
-72,-67,-45,-45,-41,7
