aibo1,aibo2,aibo3,aibo4,aibo5,class
-54,-49,-62,-70,-69,1
-46,-47,-61,-63,-73,1
-46,-46,-62,-64,-75,1
-46,-46,-62,-64,-75,1
-45,-46,-63,-64,-75,1
-44,-46,-63,-68,-75,1
-44,-54,-63,-69,-76,1
-55,-52,-60,-78,-75,1
-52,-58,-64,-78,-75,1
-50,-52,-65,-76,-75,1
-51,-47,-63,-68,-75,1
-50,-53,-58,-66,-74,1
-48,-52,-56,-64,-72,1
-48,-50,-56,-63,-73,1
-48,-51,-57,-65,-74,1
-51,-57,-73,-82,-88,1
-55,-57,-69,-82,-84,1
-53,-57,-63,-77,-76,1
-53,-55,-63,-72,-76,1
-54,-53,-63,-69,-80,1
-53,-54,-63,-73,-81,1
-53,-54,-62,-73,-84,1
-53,-54,-62,-71,-85,1
-53,-59,-64,-72,-72,1
-51,-55,-64,-76,-71,1
-55,-51,-63,-74,-72,1
-54,-51,-63,-72,-73,1
-53,-52,-63,-72,-73,1
-54,-56,-70,-79,-82,1
-58,-60,-70,-74,-76,1
-55,-56,-63,-72,-76,1
-51,-53,-63,-74,-74,1
-53,-56,-67,-73,-78,1
-59,-58,-68,-78,-79,1
-55,-60,-72,-81,-82,1
-54,-58,-66,-77,-82,1
-53,-54,-66,-74,-74,1
-51,-54,-60,-71,-74,2
-47,-46,-58,-71,-71,2
-46,-46,-61,-67,-74,2
-46,-46,-55,-61,-72,2
-53,-40,-55,-62,-73,2
-56,-48,-65,-70,-78,2
-53,-53,-66,-74,-79,2
-50,-61,-68,-75,-81,2
-56,-61,-66,-77,-79,2
-54,-58,-69,-74,-83,2
-46,-48,-65,-71,-73,2
-47,-49,-61,-69,-73,2
-48,-47,-63,-65,-76,2
-55,-43,-62,-65,-76,2
-55,-47,-58,-63,-76,2
-53,-47,-61,-62,-76,2
-52,-48,-66,-70,-79,2
-50,-53,-67,-73,-77,2
-51,-53,-62,-69,-79,2
-55,-52,-63,-69,-79,2
-48,-54,-56,-73,-78,3
-45,-50,-61,-70,-76,3
-47,-51,-64,-72,-74,3
-51,-51,-60,-73,-75,3
-50,-48,-60,-76,-79,3
-46,-54,-64,-81,-79,3
-49,-52,-63,-79,-83,3
-46,-54,-63,-83,-79,3
-46,-54,-67,-75,-75,3
-44,-52,-58,-68,-78,3
-45,-51,-60,-68,-76,3
-50,-58,-60,-70,-73,3
-49,-51,-64,-77,-81,3
-49,-57,-62,-74,-79,3
-55,-55,-63,-74,-79,3
-51,-54,-58,-74,-77,3
-47,-50,-62,-74,-83,3
-51,-45,-56,-64,-69,4
-47,-45,-56,-64,-71,4
-49,-45,-53,-67,-67,4
-51,-44,-57,-72,-70,4
-48,-51,-60,-68,-75,4
-56,-44,-58,-71,-75,4
-50,-40,-56,-71,-74,4
-48,-36,-56,-66,-74,4
-46,-36,-54,-71,-74,4
-59,-45,-58,-72,-78,4
-63,-53,-59,-72,-77,4
-59,-60,-68,-73,-81,4
-59,-59,-69,-73,-80,4
-55,-48,-58,-67,-74,4
-51,-48,-58,-66,-72,4
-48,-48,-58,-70,-72,4
-45,-50,-63,-71,-77,4
-57,-53,-59,-72,-70,5
-53,-45,-65,-69,-68,5
-49,-46,-63,-65,-71,5
-57,-42,-60,-67,-67,5
-56,-43,-63,-70,-84,5
-54,-43,-65,-74,-80,5
-59,-42,-63,-70,-80,5
-55,-46,-61,-73,-75,5
-56,-45,-61,-66,-74,5
-58,-50,-67,-71,-75,5
-56,-54,-64,-71,-73,5
-56,-46,-61,-71,-75,5
-58,-56,-71,-73,-79,5
-57,-53,-67,-74,-76,5
-61,-54,-61,-78,-72,5
-58,-49,-63,-74,-76,5
-80,-77,-60,-83,-45,6
-80,-76,-64,-57,-44,6
-80,-73,-60,-53,-44,6
-81,-69,-56,-50,-54,6
-77,-70,-56,-50,-55,6
-77,-70,-61,-49,-55,6
-77,-74,-58,-47,-51,6
-80,-74,-61,-51,-55,6
-81,-76,-60,-60,-49,6
-77,-76,-60,-53,-56,6
-79,-74,-62,-56,-52,6
-77,-74,-58,-48,-48,6
-81,-74,-62,-50,-47,6
-80,-81,-65,-62,-48,6
-78,-78,-61,-55,-49,6
-77,-75,-58,-51,-46,6
-79,-75,-59,-54,-47,6
-82,-73,-61,-50,-45,7
-69,-65,-57,-42,-40,7
-73,-67,-49,-42,-38,7
-74,-70,-53,-48,-41,7
-76,-71,-61,-58,-45,7
-74,-74,-58,-50,-49,7
-76,-68,-48,-43,-45,7
-66,-61,-47,-47,-46,7
-67,-63,-51,-49,-52,7
-70,-68,-51,-45,-50,7
-72,-70,-55,-47,-44,7
-79,-73,-61,-48,-50,7
-79,-73,-60,-52,-45,7
-83,-77,-66,-53,-45,7
-72,-73,-58,-54,-44,7
-77,-77,-62,-54,-49,7
-81,-77,-63,-54,-49,7
-82,-77,-64,-54,-52,7
-81,-77,-62,-60,-46,8
-81,-80,-62,-58,-45,8
-86,-80,-62,-59,-45,8
-81,-75,-67,-63,-43,8
-72,-70,-55,-50,-47,8
-71,-70,-55,-56,-39,8
-71,-69,-55,-49,-32,8
-73,-73,-57,-49,-33,8
-73,-69,-62,-48,-33,8
-79,-78,-64,-61,-42,8
-79,-81,-66,-60,-45,8
-77,-77,-64,-57,-41,8
-81,-76,-69,-56,-43,8
-84,-82,-65,-58,-48,8
-84,-79,-67,-59,-48,8
-84,-79,-66,-57,-40,8
-82,-76,-66,-57,-42,8
-76,-76,-62,-50,-39,9
-79,-72,-54,-46,-38,9
-75,-69,-54,-50,-34,9
-74,-68,-55,-79,-32,9
-79,-74,-63,-56,-40,9
-77,-72,-59,-56,-44,9
-76,-71,-58,-52,-48,9
-76,-73,-62,-56,-48,9
