aibo1,aibo2,aibo3,aibo4,aibo5,Sector
-52,-46,-61,-71,-75,1
-50,-49,-63,-70,-77,1
-51,-49,-64,-71,-77,1
-50,-49,-62,-72,-77,1
-51,-49,-62,-75,-78,1
-55,-49,-60,-72,-72,1
-53,-63,-57,-77,-76,1
-57,-48,-61,-66,-78,1
-57,-54,-60,-70,-78,1
-51,-52,-54,-73,-72,1
-58,-53,-63,-67,-77,1
-50,-53,-59,-72,-72,1
-53,-49,-56,-70,-70,1
-45,-50,-51,-63,-71,1
-45,-50,-50,-64,-71,1
-46,-51,-49,-64,-70,1
-47,-51,-50,-65,-70,1
-48,-50,-49,-65,-71,1
-42,-54,-61,-79,-82,1
-47,-58,-57,-79,-80,1
-46,-58,-56,-74,-76,1
-41,-54,-57,-74,-71,1
-45,-56,-50,-69,-69,1
-47,-50,-48,-70,-74,1
-43,-52,-48,-71,-74,1
-44,-49,-48,-65,-77,1
-46,-49,-50,-68,-75,1
-47,-49,-53,-66,-71,1
-47,-49,-53,-67,-77,1
-48,-49,-53,-67,-73,1
-52,-58,-56,-76,-78,1
-48,-48,-56,-72,-77,1
-46,-48,-58,-70,-79,1
-46,-46,-58,-65,-74,1
-50,-47,-59,-68,-72,1
-53,-55,-60,-74,-73,1
-61,-53,-54,-74,-77,1
-55,-57,-53,-72,-79,1
-56,-53,-51,-63,-71,1
-51,-54,-50,-70,-75,1
-51,-49,-56,-69,-71,1
-49,-58,-54,-71,-70,1
-49,-47,-58,-66,-69,1
-47,-53,-56,-72,-71,1
-50,-54,-57,-72,-70,1
-57,-53,-55,-76,-74,1
-55,-57,-53,-69,-73,1
-56,-55,-64,-69,-74,1
-52,-55,-52,-74,-73,1
-61,-52,-67,-71,-71,1
-53,-51,-62,-73,-70,1
-51,-49,-61,-65,-69,2
-52,-52,-53,-67,-70,2
-51,-46,-54,-65,-64,2
-47,-46,-52,-63,-65,2
-48,-46,-58,-59,-69,2
-48,-44,-58,-68,-68,2
-50,-46,-59,-67,-70,2
-50,-52,-62,-74,-78,2
-51,-49,-53,-70,-68,2
-50,-49,-57,-76,-72,2
-47,-53,-56,-71,-80,2
-44,-52,-60,-69,-75,2
-49,-48,-57,-69,-74,2
-48,-47,-57,-69,-74,2
-47,-51,-58,-73,-74,2
-51,-45,-67,-68,-68,2
-55,-49,-60,-68,-72,2
-48,-52,-55,-63,-65,2
-44,-52,-52,-62,-66,2
-44,-52,-52,-66,-69,2
-53,-44,-55,-62,-68,2
-46,-44,-56,-65,-69,2
-51,-45,-60,-67,-69,2
-52,-53,-67,-64,-69,2
-57,-52,-60,-67,-73,2
-54,-49,-51,-65,-73,2
-50,-56,-50,-61,-69,2
-48,-50,-54,-63,-64,2
-54,-48,-53,-62,-63,2
-54,-47,-57,-63,-65,2
-48,-44,-55,-64,-68,2
-47,-44,-61,-65,-68,2
-47,-45,-68,-66,-68,2
-47,-52,-50,-70,-69,3
-44,-49,-53,-63,-68,3
-48,-46,-48,-60,-65,3
-85,-48,-50,-67,-66,3
-53,-49,-51,-67,-65,3
-50,-50,-50,-64,-68,3
-49,-47,-58,-67,-72,3
-41,-60,-64,-76,-79,3
-41,-54,-64,-74,-78,3
-44,-57,-59,-73,-85,3
-41,-59,-55,-67,-76,3
-44,-57,-53,-66,-76,3
-45,-61,-53,-68,-78,3
-46,-54,-52,-67,-83,3
-44,-54,-56,-66,-76,3
-50,-53,-60,-73,-74,3
-43,-51,-54,-69,-72,3
-48,-53,-52,-69,-71,3
-42,-56,-55,-63,-71,3
-46,-42,-54,-65,-68,3
-44,-52,-58,-63,-68,3
-48,-53,-58,-64,-68,3
-52,-49,-55,-61,-69,3
-47,-49,-57,-65,-70,3
-47,-51,-53,-62,-66,3
-42,-55,-60,-66,-71,3
-45,-48,-60,-68,-74,3
-46,-50,-58,-66,-78,3
-46,-48,-53,-71,-70,3
-44,-48,-54,-65,-71,3
-51,-48,-54,-65,-67,3
-53,-53,-57,-68,-73,3
-49,-50,-54,-71,-70,3
-45,-52,-55,-68,-73,3
-53,-53,-60,-62,-68,3
-52,-45,-50,-65,-70,4
-56,-49,-52,-69,-74,4
-57,-48,-55,-68,-77,4
-53,-51,-56,-68,-79,4
-52,-50,-66,-63,-75,4
-52,-56,-62,-72,-72,4
-89,-58,-54,-72,-79,4
-50,-47,-50,-66,-73,4
-51,-38,-59,-65,-75,4
-48,-35,-44,-64,-70,4
-47,-34,-45,-67,-74,4
-50,-37,-52,-70,-72,4
-51,-33,-52,-76,-78,4
-49,-35,-55,-71,-80,4
-46,-36,-62,-71,-74,4
-49,-50,-55,-71,-75,4
-61,-43,-55,-67,-68,4
-60,-44,-50,-68,-71,4
-55,-51,-55,-67,-75,4
-53,-52,-55,-68,-75,4
-48,-48,-64,-65,-77,4
-48,-54,-57,-72,-75,4
-44,-51,-55,-61,-69,4
-56,-44,-58,-65,-70,4
-57,-55,-53,-65,-81,4
-51,-43,-55,-71,-75,4
-52,-53,-54,-68,-74,4
-49,-53,-57,-70,-76,4
-51,-52,-64,-70,-73,4
-52,-53,-60,-69,-74,4
-51,-59,-59,-68,-76,4
-56,-51,-56,-64,-70,5
-61,-50,-57,-68,-71,5
-56,-47,-54,-66,-70,5
-60,-48,-56,-66,-68,5
-58,-49,-54,-60,-73,5
-61,-48,-55,-65,-67,5
-60,-51,-56,-65,-71,5
-56,-47,-59,-75,-70,5
-58,-37,-59,-76,-75,5
-50,-35,-55,-73,-72,5
-48,-34,-58,-64,-70,5
-52,-36,-56,-62,-71,5
-53,-37,-57,-62,-70,5
-52,-44,-48,-58,-72,5
-51,-46,-46,-58,-67,5
-53,-46,-46,-58,-66,5
-58,-54,-61,-66,-75,5
-64,-48,-64,-65,-74,5
-55,-53,-60,-65,-73,5
-54,-44,-64,-68,-66,5
-62,-50,-55,-62,-71,5
-57,-58,-60,-71,-68,5
-54,-50,-60,-62,-66,5
-57,-43,-51,-60,-66,5
-56,-45,-57,-64,-71,5
-59,-51,-60,-67,-76,5
-50,-47,-50,-66,-74,5
-54,-47,-52,-66,-67,5
